percent	ang_W	r	phase	choose_angle	delta_1_x_3	delta_2_x_1	delta_3_x_2	delta_3_x_1	delta_1_x_2	delta_2_x_3
0.00	0.000	51.000	0.000	0.001	0.001	0.003	-2.096	2.093	-0.003	0.001
0.69	0.087	51.000	0.000	0.088	0.089	0.084	-2.183	2.006	-0.084	0.088
1.39	0.175	51.000	0.000	0.176	0.176	0.172	-2.270	1.918	-0.172	0.176
2.08	0.262	51.000	0.000	0.263	0.264	0.259	-2.357	1.831	-0.259	0.263
2.78	0.349	51.000	0.000	0.350	0.351	0.346	-2.444	1.743	-0.346	0.350
3.47	0.436	51.000	0.000	0.437	0.439	0.434	-2.531	1.656	-0.434	0.437
4.17	0.524	51.000	0.000	0.524	0.526	0.521	-2.618	1.568	-0.521	0.524
4.86	0.611	51.000	0.000	0.611	0.613	0.609	-2.705	1.481	-0.609	0.611
5.56	0.698	51.000	0.000	0.698	0.701	0.696	-2.792	1.394	-0.696	0.698
6.25	0.785	51.000	0.000	0.785	0.788	0.783	-2.879	1.306	-0.783	0.785
6.94	0.873	51.000	0.000	0.872	0.875	0.871	-2.966	1.219	-0.871	0.872
7.64	0.960	51.000	0.000	0.961	0.963	0.958	-3.053	1.132	-0.958	0.959
8.33	1.047	51.000	0.000	1.046	1.044	1.046	-3.140	1.050	-1.046	1.046
9.03	1.134	51.000	0.000	1.133	0.957	1.133	3.056	1.137	-1.133	1.133
9.72	1.222	51.000	0.000	1.220	0.870	1.221	2.969	1.225	-1.221	1.220
10.42	1.309	51.000	0.000	1.308	0.783	1.308	2.882	1.312	-1.308	1.307
11.11	1.396	51.000	0.000	1.396	0.695	1.396	2.795	1.399	-1.396	1.394
11.81	1.484	51.000	0.000	1.483	0.608	1.483	2.708	1.486	-1.483	1.481
12.50	1.571	51.000	0.000	1.571	0.521	1.571	2.620	1.573	-1.571	1.568
13.19	1.658	51.000	0.000	1.658	0.434	1.658	2.533	1.660	-1.658	1.655
13.89	1.745	51.000	0.000	1.746	0.347	1.746	2.446	1.747	-1.746	1.743
14.58	1.833	51.000	0.000	1.833	0.260	1.833	2.359	1.835	-1.833	1.830
15.28	1.920	51.000	0.000	1.921	0.173	1.921	2.272	1.922	-1.921	1.917
15.97	2.007	51.000	0.000	2.009	0.086	2.008	2.184	2.009	-2.008	2.004
16.67	2.094	51.000	0.000	2.096	-0.001	2.096	2.097	2.096	-2.096	2.092
17.36	2.182	51.000	0.000	2.181	-0.088	2.183	2.179	2.183	-2.183	2.010
18.06	2.269	51.000	0.000	2.270	-0.176	2.271	2.266	2.270	-2.271	1.923
18.75	2.356	51.000	0.000	2.357	-0.263	2.358	2.353	2.357	-2.358	1.835
19.44	2.443	51.000	0.000	2.444	-0.350	2.446	2.441	2.444	-2.446	1.748
20.14	2.531	51.000	0.000	2.531	-0.437	2.533	2.528	2.531	-2.533	1.661
20.83	2.618	51.000	0.000	2.618	-0.524	2.620	2.616	2.618	-2.620	1.573
21.53	2.705	51.000	0.000	2.705	-0.611	2.708	2.703	2.705	-2.708	1.486
22.22	2.793	51.000	0.000	2.792	-0.698	2.795	2.790	2.792	-2.795	1.398
22.92	2.880	51.000	0.000	2.879	-0.785	2.883	2.878	2.879	-2.883	1.311
23.61	2.967	51.000	0.000	2.968	-0.872	2.970	2.965	2.966	-2.970	1.224
24.31	3.054	51.000	0.000	3.055	-0.959	3.057	3.053	3.053	-3.057	1.136
25.00	3.142	51.000	0.000	3.140	-1.046	3.139	3.140	3.140	-3.139	1.049
25.69	-3.054	51.000	0.000	-3.056	-1.133	3.052	-3.056	-3.056	-3.052	0.961
26.39	-2.967	51.000	0.000	-2.968	-1.220	2.964	-2.968	-2.969	-2.964	0.874
27.08	-2.880	51.000	0.000	-2.881	-1.307	2.877	-2.881	-2.882	-2.877	0.786
27.78	-2.793	51.000	0.000	-2.793	-1.394	2.790	-2.793	-2.795	-2.790	0.699
