percent	ang_W	r	phase	choose_angle_GEOMETRIC	choose_angle_MSC_ULA	choose_angle_MSC_UCA	delta_1_x_3	delta_2_x_1	delta_3_x_2	delta_3_x_1	delta_1_x_2	delta_2_x_3
0.00	0.000	51.000	0.000	-0.115	3.047	-0.012	-0.115	0.205	-1.997	2.210	-0.205	-0.098
0.69	0.087	51.000	0.000	3.142	0.150	0.096	0.010	2.959	-2.085	2.084	-2.959	-0.009
1.39	0.175	51.000	0.000	0.208	0.131	0.166	0.170	0.318	-2.302	1.924	-0.318	0.208
2.08	0.262	51.000	0.000	0.207	0.267	0.257	0.210	0.193	-2.301	1.884	-0.193	0.207
2.78	0.349	51.000	0.000	0.334	0.347	0.351	0.334	0.336	-2.429	1.761	-0.336	0.334
3.47	0.436	51.000	0.000	0.494	0.419	0.431	0.366	0.633	-2.588	1.729	-0.633	0.494
4.17	0.524	51.000	0.000	0.599	0.525	0.494	0.617	0.585	-2.693	1.478	-0.585	0.599
4.86	0.611	51.000	0.000	0.612	0.595	0.606	0.824	0.479	-2.706	1.270	-0.479	0.612
5.56	0.698	51.000	0.000	0.694	0.693	0.672	0.847	0.627	-2.789	1.248	-0.627	0.694
6.25	0.785	51.000	0.000	0.777	0.784	0.771	0.709	0.806	-2.871	1.386	-0.806	0.777
6.94	0.873	51.000	0.000	0.844	0.892	0.866	-1.635	0.769	-3.013	-2.554	-0.769	0.919
7.64	0.960	51.000	0.000	0.956	0.969	0.962	0.765	0.998	-3.050	1.329	-0.998	0.956
8.33	1.047	51.000	0.000	1.010	1.066	1.044	0.839	1.022	-3.092	1.256	-1.022	0.998
9.03	1.134	51.000	0.000	1.117	1.148	1.136	-1.920	1.107	3.061	-2.269	-1.107	1.127
9.72	1.222	51.000	0.000	1.282	1.229	1.239	-1.809	1.242	2.866	-2.379	-1.242	1.323
10.42	1.309	51.000	0.000	1.407	1.325	1.319	-1.689	1.315	2.690	-2.500	-1.315	1.499
11.11	1.396	51.000	0.000	1.421	1.401	1.400	0.610	1.421	2.806	1.485	-1.421	1.382
11.81	1.484	51.000	0.000	1.476	1.497	1.482	0.459	1.476	2.836	1.635	-1.476	1.353
12.50	1.571	51.000	0.000	1.566	1.578	1.562	0.723	1.566	2.431	1.371	-1.566	1.757
13.19	1.658	51.000	0.000	1.665	1.669	1.663	0.384	1.665	2.585	1.711	-1.665	1.604
13.89	1.745	51.000	0.000	1.764	1.737	1.738	0.361	1.764	2.358	1.733	-1.764	1.830
14.58	1.833	51.000	0.000	1.824	1.848	1.833	0.214	1.824	2.489	1.880	-1.824	1.700
15.28	1.920	51.000	0.000	1.907	1.925	1.915	0.179	1.899	2.345	1.915	-1.899	1.844
15.97	2.007	51.000	0.000	1.997	2.004	2.019	0.097	1.997	2.198	1.997	-1.997	1.991
16.67	2.094	51.000	0.000	2.131	2.100	2.077	-0.004	2.163	-1.379	2.098	-2.163	-0.715
17.36	2.182	51.000	0.000	2.237	2.187	2.187	-0.143	2.129	2.542	2.237	-2.129	1.647
18.06	2.269	51.000	0.000	2.335	2.279	2.271	-0.240	2.243	2.541	2.335	-2.243	1.648
18.75	2.356	51.000	0.000	2.406	2.367	2.351	-0.268	2.450	-1.265	2.362	-2.450	-0.830
19.44	2.443	51.000	0.000	2.393	2.454	2.428	-0.298	2.368	2.447	2.393	-2.368	1.741
20.14	2.531	51.000	0.000	2.527	2.529	2.520	-0.433	2.497	2.567	2.527	-2.497	1.621
20.83	2.618	51.000	0.000	2.582	2.592	2.609	-0.488	2.581	2.583	2.582	-2.581	1.605
21.53	2.705	51.000	0.000	2.693	2.721	2.702	-0.669	0.139	2.621	2.764	-0.139	1.568
22.22	2.793	51.000	0.000	2.794	2.761	2.766	-0.700	2.669	2.868	2.794	-2.669	1.321
