percent	ang_W	r	phase	choose_angle	delta_1_x_3	delta_2_x_1	delta_3_x_2	delta_3_x_1	delta_1_x_2	delta_2_x_3
0.00	0.000	51.000	0.000	-0.003	-0.003	0.050	-2.093	2.098	-0.050	-0.002
0.69	0.087	51.000	0.000	0.090	0.089	0.102	-2.185	2.006	-0.102	0.090
1.39	0.175	51.000	0.000	0.177	0.180	0.162	-2.271	1.914	-0.162	0.177
2.08	0.262	51.000	0.000	0.266	0.264	0.272	-2.360	1.831	-0.272	0.266
2.78	0.349	51.000	0.000	0.352	0.359	0.338	-2.446	1.735	-0.338	0.352
3.47	0.436	51.000	0.000	0.434	0.423	0.449	-2.528	1.672	-0.449	0.434
4.17	0.524	51.000	0.000	0.529	0.530	0.529	-2.624	1.565	-0.529	0.529
4.86	0.611	51.000	0.000	0.610	0.604	0.614	-2.704	1.490	-0.614	0.610
5.56	0.698	51.000	0.000	0.704	0.709	0.701	-2.798	1.385	-0.701	0.704
6.25	0.785	51.000	0.000	0.781	0.774	0.784	-2.876	1.321	-0.784	0.781
6.94	0.873	51.000	0.000	0.871	0.874	0.870	-2.965	1.221	-0.870	0.871
7.64	0.960	51.000	0.000	0.984	1.009	0.954	-3.053	1.085	-0.954	0.958
8.33	1.047	51.000	0.000	1.046	-2.003	1.044	3.140	-2.186	-1.044	1.049
9.03	1.134	51.000	0.000	1.136	0.958	1.136	3.053	1.136	-1.136	1.136
9.72	1.222	51.000	0.000	1.216	0.886	1.224	2.961	1.209	-1.224	1.228
10.42	1.309	51.000	0.000	1.310	0.783	1.310	2.879	1.312	-1.310	1.310
11.11	1.396	51.000	0.000	1.392	0.691	1.392	2.802	1.403	-1.392	1.386
11.81	1.484	51.000	0.000	1.483	0.589	1.483	2.723	1.506	-1.483	1.466
12.50	1.571	51.000	0.000	1.573	0.518	1.573	2.619	1.576	-1.573	1.570
13.19	1.658	51.000	0.000	1.652	0.434	1.652	2.547	1.660	-1.652	1.642
13.89	1.745	51.000	0.000	1.740	0.355	1.740	2.448	1.739	-1.740	1.740
14.58	1.833	51.000	0.000	1.841	0.253	1.841	2.349	1.841	-1.841	1.840
15.28	1.920	51.000	0.000	1.960	0.161	1.940	2.210	1.933	-1.940	1.979
15.97	2.007	51.000	0.000	2.040	0.075	2.022	2.130	2.019	-2.022	2.059
16.67	2.094	51.000	0.000	2.093	0.002	2.094	-1.095	2.092	-2.094	-0.999
17.36	2.182	51.000	0.000	2.178	-0.080	2.181	-1.100	2.175	-2.181	-0.994
18.06	2.269	51.000	0.000	2.237	-0.172	2.277	2.208	2.266	-2.277	1.981
18.75	2.356	51.000	0.000	2.360	-0.265	2.362	2.354	2.360	-2.362	1.834
19.44	2.443	51.000	0.000	2.442	-0.348	2.432	2.460	2.442	-2.432	1.729
20.14	2.531	51.000	0.000	2.534	-0.439	2.534	2.534	2.534	-2.534	1.655
20.83	2.618	51.000	0.000	2.616	-0.522	2.628	2.605	2.616	-2.628	1.584
21.53	2.705	51.000	0.000	2.696	-0.602	2.691	2.700	2.696	-2.691	1.489
22.22	2.793	51.000	0.000	2.800	-0.705	2.795	2.802	2.800	-2.795	1.387
22.92	2.880	51.000	0.000	2.883	-0.789	2.895	2.879	2.883	-2.895	1.310
23.61	2.967	51.000	0.000	2.963	-0.865	2.932	2.967	2.960	-2.932	1.222
24.31	3.054	51.000	0.000	3.072	-0.966	3.082	3.059	3.061	-3.082	1.130
25.00	3.142	51.000	0.000	-3.141	-1.046	3.058	-3.139	3.140	-3.058	1.045
25.69	-3.054	51.000	0.000	-3.051	-1.138	3.050	-3.051	-3.051	-3.050	0.956
26.39	-2.967	51.000	0.000	-2.972	-1.211	2.922	-2.966	-2.978	-2.922	0.872
27.08	-2.880	51.000	0.000	-2.877	-1.311	2.873	-2.877	-2.878	-2.873	0.782
27.78	-2.793	51.000	0.000	-2.795	-1.392	2.792	-2.795	-2.797	-2.792	0.701
28.47	-2.705	51.000	0.000	-2.701	-1.485	2.696	-2.701	-2.704	-2.696	0.606
29.17	-2.618	51.000	0.000	-2.622	-1.580	2.635	-2.622	-2.609	-2.635	0.528
29.86	-2.531	51.000	0.000	-2.530	-1.671	2.539	-2.530	-2.517	-2.539	0.436
30.56	-2.443	51.000	0.000	-2.439	-1.753	2.441	-2.439	-2.435	-2.441	0.344
31.25	-2.356	51.000	0.000	-2.353	-1.847	2.358	-2.353	-2.342	-2.358	0.259
31.94	-2.269	51.000	0.000	-2.238	-1.972	2.268	-2.260	-2.216	-2.268	0.166
32.64	-2.182	51.000	0.000	-2.154	-2.056	2.179	-2.176	-2.133	-2.179	0.082
33.33	-2.094	51.000	0.000	-2.093	0.938	2.097	-2.090	1.156	-2.097	-0.004
34.03	-2.007	51.000	0.000	-2.009	-2.020	1.999	-1.997	-2.169	-1.999	-0.098
34.72	-1.920	51.000	0.000	-1.934	-1.944	1.924	-1.920	-2.244	-1.924	-0.175
35.42	-1.833	51.000	0.000	-1.836	-1.836	1.836	-1.835	-2.353	-1.836	-0.259
36.11	-1.745	51.000	0.000	-1.749	-1.765	1.749	-1.741	-2.423	-1.749	-0.353
