percent	ang_W	r	phase	choose_angle	choose_angle_GN	delta_1_x_3	delta_2_x_1	delta_3_x_2	delta_3_x_1	delta_1_x_2	delta_2_x_3
0.00	0.000	51.000	0.000	0.072	NaN	0.025	0.291	-2.166	2.070	-0.291	0.072
0.69	0.087	51.000	0.000	0.061	NaN	0.096	2.798	-2.120	1.999	-2.798	0.025
1.39	0.175	51.000	0.000	0.166	NaN	0.182	2.972	-2.244	1.912	-2.972	0.149
2.08	0.262	51.000	0.000	3.142	-2.703	0.226	3.025	-2.286	1.868	-3.025	0.192
2.78	0.349	51.000	0.000	0.449	-0.485	0.460	0.436	-2.544	1.635	-0.436	0.449
3.47	0.436	51.000	0.000	0.423	0.128	0.435	0.406	-2.518	1.659	-0.406	0.423
4.17	0.524	51.000	0.000	0.661	-1.722	0.685	0.646	-2.756	1.409	-0.646	0.661
4.86	0.611	51.000	0.000	0.603	2.017	0.551	0.644	-2.698	1.544	-0.644	0.603
5.56	0.698	51.000	0.000	0.721	-1.602	0.827	0.677	-2.815	1.268	-0.677	0.721
6.25	0.785	51.000	0.000	0.755	1.886	0.566	0.854	-2.849	1.529	-0.854	0.755
6.94	0.873	51.000	0.000	0.910	NaN	-1.843	0.886	-3.029	-2.346	-0.886	0.934
7.64	0.960	51.000	0.000	0.979	-2.129	-1.789	0.950	-3.101	-2.399	-0.950	1.007
8.33	1.047	51.000	0.000	1.053	NaN	-2.038	1.052	3.135	-2.151	-1.052	1.054
9.03	1.134	51.000	0.000	1.100	1.156	-1.926	1.091	3.080	-2.262	-1.091	1.109
9.72	1.222	51.000	0.000	1.247	1.236	-1.904	1.225	2.919	-2.284	-1.225	1.270
10.42	1.309	51.000	0.000	1.379	1.126	0.869	1.379	2.749	1.225	-1.379	1.440
11.11	1.396	51.000	0.000	1.429	1.319	-2.034	1.383	2.713	-2.154	-1.383	1.476
11.81	1.484	51.000	0.000	1.523	0.243	0.490	1.523	2.736	1.605	-1.523	1.453
12.50	1.571	51.000	0.000	1.554	1.401	0.497	1.554	2.675	1.597	-1.554	1.513
13.19	1.658	51.000	0.000	1.737	2.899	0.263	1.737	2.603	1.831	-1.737	1.586
13.89	1.745	51.000	0.000	1.800	2.699	0.275	1.800	2.432	1.820	-1.800	1.757
14.58	1.833	51.000	0.000	1.810	-1.279	0.194	1.810	2.557	1.900	-1.810	1.632
15.28	1.920	51.000	0.000	1.902	-1.833	0.208	1.917	-1.173	1.886	-1.917	-0.922
15.97	2.007	51.000	0.000	1.944	-1.239	0.157	1.952	-1.102	1.937	-1.952	-0.992
16.67	2.094	51.000	0.000	2.199	-2.649	-0.105	2.103	2.511	2.199	-2.103	1.678
17.36	2.182	51.000	0.000	2.108	0.115	-0.058	2.108	2.376	2.153	-2.108	1.812
18.06	2.269	51.000	0.000	2.232	-2.724	-0.137	2.229	2.244	2.232	-2.229	1.945
18.75	2.356	51.000	0.000	2.388	NaN	-0.293	2.348	2.472	2.388	-2.348	1.717
19.44	2.443	51.000	0.000	2.447	0.498	-0.353	2.435	2.470	2.447	-2.435	1.719
20.14	2.531	51.000	0.000	2.508	0.731	-0.413	2.466	2.567	2.508	-2.466	1.622
20.83	2.618	51.000	0.000	2.639	1.246	-0.544	2.832	2.466	2.639	-2.832	1.723
21.53	2.705	51.000	0.000	2.765	NaN	-0.671	2.697	2.807	2.765	-2.697	1.381
22.22	2.793	51.000	0.000	2.728	-0.762	-0.688	0.034	2.673	2.782	-0.034	1.516
22.92	2.880	51.000	0.000	2.811	-3.106	-0.717	2.790	2.822	2.811	-2.790	1.367
23.61	2.967	51.000	0.000	2.885	2.914	-0.791	2.840	2.902	2.885	-2.840	1.287
24.31	3.054	51.000	0.000	3.099	-3.010	-0.984	2.868	3.120	3.078	-2.868	1.069
25.00	3.142	51.000	0.000	-3.095	-0.434	-1.062	2.801	-3.063	-3.127	-2.801	0.968
25.69	-3.054	51.000	0.000	-3.124	NaN	-1.081	0.232	-3.139	-3.108	-0.232	1.045
26.39	-2.967	51.000	0.000	-2.967	-2.847	-1.235	0.110	-2.979	-2.954	-0.110	0.885
27.08	-2.880	51.000	0.000	-2.926	-2.952	-1.258	2.909	-2.926	-2.931	-2.909	0.832
27.78	-2.793	51.000	0.000	-2.783	-2.714	-1.353	2.695	-2.783	-2.836	-2.695	0.689
28.47	-2.705	51.000	0.000	-2.698	-1.575	-1.396	2.580	-2.698	-2.793	-2.580	0.604
29.17	-2.618	51.000	0.000	-2.597	2.356	-1.636	2.637	-2.597	-2.553	-2.637	0.503
29.86	-2.531	51.000	0.000	-2.528	-1.806	-1.676	2.539	-2.528	-2.512	-2.539	0.433
30.56	-2.443	51.000	0.000	-2.401	0.217	-1.908	2.446	-2.401	-2.281	-2.446	0.307
31.25	-2.356	51.000	0.000	-2.455	-0.505	-1.658	2.410	-2.455	-2.531	-2.410	0.361
31.94	-2.269	51.000	0.000	-2.219	NaN	0.863	2.233	-2.204	1.231	-2.233	0.110
32.64	-2.182	51.000	0.000	-2.207	NaN	0.726	2.241	-2.174	1.368	-2.241	0.079
33.33	-2.094	51.000	0.000	-2.124	1.551	-1.866	2.109	-2.139	-2.323	-2.109	0.044
34.03	-2.007	51.000	0.000	-2.054	2.659	0.820	2.070	-2.039	1.274	-2.070	-0.056
34.72	-1.920	51.000	0.000	-1.942	0.377	-1.986	1.899	-1.881	-2.203	-1.899	-0.213
