percent	ang_W	r	phase	choose_angle	choose_angle_GN	delta_1_x_3	delta_2_x_1	delta_3_x_2	delta_3_x_1	delta_1_x_2	delta_2_x_3
0.00	0.000	51.000	0.000	0.072	NaN	-0.002	0.136	-2.103	2.096	-0.136	0.009
0.69	0.087	51.000	0.000	0.088	2.887	0.086	0.106	-2.182	2.009	-0.106	0.088
1.39	0.175	51.000	0.000	0.172	-2.936	0.166	0.198	-2.266	1.929	-0.198	0.172
2.08	0.262	51.000	0.000	0.265	NaN	0.257	0.287	-2.360	1.838	-0.287	0.265
2.78	0.349	51.000	0.000	0.342	-2.718	0.350	0.325	-2.436	1.744	-0.325	0.342
3.47	0.436	51.000	0.000	0.447	0.126	0.466	0.422	-2.541	1.629	-0.422	0.447
4.17	0.524	51.000	0.000	0.522	0.077	0.514	0.530	-2.616	1.581	-0.530	0.522
4.86	0.611	51.000	0.000	0.616	-2.241	0.604	0.624	-2.710	1.490	-0.624	0.616
5.56	0.698	51.000	0.000	0.694	-0.621	0.699	0.691	-2.788	1.395	-0.691	0.694
6.25	0.785	51.000	0.000	0.785	NaN	0.810	0.776	-2.879	1.284	-0.776	0.785
6.94	0.873	51.000	0.000	0.872	NaN	0.879	0.871	-2.966	1.215	-0.871	0.872
7.64	0.960	51.000	0.000	0.960	-3.111	0.951	0.961	-3.054	1.143	-0.961	0.960
8.33	1.047	51.000	0.000	1.039	0.888	0.918	1.044	-3.128	1.176	-1.044	1.034
9.03	1.134	51.000	0.000	1.129	2.358	-1.974	1.123	3.053	-2.214	-1.123	1.135
9.72	1.222	51.000	0.000	1.216	1.783	0.882	1.220	2.967	1.212	-1.220	1.222
10.42	1.309	51.000	0.000	1.306	-0.969	0.794	1.312	2.872	1.301	-1.312	1.317
11.11	1.396	51.000	0.000	1.395	-2.503	0.667	1.395	2.811	1.427	-1.395	1.378
11.81	1.484	51.000	0.000	1.484	2.887	0.594	1.484	2.716	1.500	-1.484	1.473
12.50	1.571	51.000	0.000	1.575	-1.923	0.519	1.575	2.615	1.576	-1.575	1.574
13.19	1.658	51.000	0.000	1.656	1.659	0.453	1.656	2.511	1.641	-1.656	1.677
13.89	1.745	51.000	0.000	1.748	-0.749	0.349	1.748	2.435	1.745	-1.748	1.753
14.58	1.833	51.000	0.000	1.874	-1.112	0.292	1.830	2.272	1.803	-1.830	1.917
15.28	1.920	51.000	0.000	1.939	2.469	0.155	1.938	2.255	1.939	-1.938	1.934
15.97	2.007	51.000	0.000	2.024	-1.097	0.089	2.008	2.149	2.005	-2.008	2.040
16.67	2.094	51.000	0.000	2.103	0.677	-0.008	2.103	-1.097	2.102	-2.103	-0.997
17.36	2.182	51.000	0.000	2.180	-2.360	-0.076	2.189	-1.205	2.170	-2.189	-0.890
18.06	2.269	51.000	0.000	2.265	2.290	-0.170	2.261	2.280	2.265	-2.261	1.909
18.75	2.356	51.000	0.000	2.360	0.219	-0.265	2.376	2.313	2.360	-2.376	1.876
19.44	2.443	51.000	0.000	2.449	0.924	-0.354	2.446	2.453	2.449	-2.446	1.735
20.14	2.531	51.000	0.000	2.531	2.268	-0.437	2.518	2.550	2.531	-2.518	1.639
20.83	2.618	51.000	0.000	2.619	2.445	-0.525	2.603	2.636	2.619	-2.603	1.553
21.53	2.705	51.000	0.000	2.714	2.787	-0.619	2.721	2.709	2.714	-2.721	1.480
22.22	2.793	51.000	0.000	2.776	NaN	-0.681	2.769	2.779	2.776	-2.769	1.410
22.92	2.880	51.000	0.000	2.873	-1.111	-0.779	2.857	2.879	2.873	-2.857	1.309
23.61	2.967	51.000	0.000	2.991	2.904	-0.876	3.012	2.962	2.970	-3.012	1.227
24.31	3.054	51.000	0.000	3.054	0.518	-0.959	3.054	3.054	3.054	-3.054	1.135
25.00	3.142	51.000	0.000	-3.134	2.468	-1.048	2.981	-3.126	-3.141	-2.981	1.032
25.69	-3.054	51.000	0.000	-3.039	-1.562	-1.158	0.123	-3.046	-3.031	-0.123	0.952
26.39	-2.967	51.000	0.000	-2.976	-1.902	-1.217	2.979	-2.973	-2.972	-2.979	0.879
27.08	-2.880	51.000	0.000	-2.875	-0.231	-1.310	2.868	-2.875	-2.878	-2.868	0.781
27.78	-2.793	51.000	0.000	-2.793	-0.441	-1.401	2.802	-2.793	-2.788	-2.802	0.698
28.47	-2.705	51.000	0.000	-2.703	-1.178	-1.491	2.708	-2.703	-2.698	-2.708	0.608
29.17	-2.618	51.000	0.000	-2.615	1.971	-1.576	2.617	-2.615	-2.613	-2.617	0.521
29.86	-2.531	51.000	0.000	-2.523	-1.350	-1.649	2.511	-2.523	-2.539	-2.511	0.428
30.56	-2.443	51.000	0.000	-2.439	1.029	-1.743	2.435	-2.439	-2.446	-2.435	0.344
31.25	-2.356	51.000	0.000	-2.346	-0.323	-1.882	2.358	-2.346	-2.307	-2.358	0.251
31.94	-2.269	51.000	0.000	-2.279	1.537	-1.931	2.283	-2.279	-2.258	-2.283	0.184
