percent	ang_W	r	phase	choose_angle_GEOMETRIC	choose_angle_MSC_ULA	choose_angle_MSC_UCA	delta_1_x_3	delta_2_x_1	delta_3_x_2	delta_3_x_1	delta_1_x_2	delta_2_x_3
0.00	0.000	51.000	0.000	0.005	0.040	0.003	0.001	0.086	-2.099	2.094	-0.086	0.005
0.69	0.087	51.000	0.000	0.087	0.086	0.091	0.089	0.061	-2.181	2.005	-0.061	0.087
1.39	0.175	51.000	0.000	0.164	0.185	0.175	0.170	0.129	-2.258	1.924	-0.129	0.164
2.08	0.262	51.000	0.000	0.267	0.257	0.262	0.276	0.240	-2.361	1.818	-0.240	0.267
2.78	0.349	51.000	0.000	0.350	0.354	0.347	0.348	0.353	-2.444	1.746	-0.353	0.350
3.47	0.436	51.000	0.000	0.426	0.442	0.438	0.436	0.413	-2.521	1.659	-0.413	0.426
4.17	0.524	51.000	0.000	0.522	0.527	0.524	0.520	0.525	-2.617	1.574	-0.525	0.522
4.86	0.611	51.000	0.000	0.606	0.611	0.607	0.622	0.593	-2.700	1.473	-0.593	0.606
5.56	0.698	51.000	0.000	0.700	0.707	0.696	0.709	0.696	-2.795	1.385	-0.696	0.700
6.25	0.785	51.000	0.000	0.784	0.791	0.785	0.760	0.794	-2.879	1.335	-0.794	0.784
6.94	0.873	51.000	0.000	0.870	0.880	0.869	0.865	0.872	-2.965	1.229	-0.872	0.870
7.64	0.960	51.000	0.000	0.955	0.969	0.958	0.902	0.963	-3.050	1.192	-0.963	0.955
8.33	1.047	51.000	0.000	1.044	1.056	1.042	-1.997	1.041	-3.141	-2.192	-1.041	1.046
9.03	1.134	51.000	0.000	1.132	1.145	1.133	0.972	1.141	3.046	1.122	-1.141	1.143
9.72	1.222	51.000	0.000	1.166	1.230	1.218	0.972	1.210	2.966	1.123	-1.210	1.223
10.42	1.309	51.000	0.000	1.289	1.318	1.309	0.823	1.308	2.868	1.271	-1.308	1.320
11.11	1.396	51.000	0.000	1.398	1.405	1.395	0.690	1.398	2.794	1.404	-1.398	1.395
11.81	1.484	51.000	0.000	1.474	1.494	1.482	0.633	1.474	2.705	1.461	-1.474	1.483
12.50	1.571	51.000	0.000	1.576	1.581	1.571	0.518	1.576	2.614	1.577	-1.576	1.575
13.19	1.658	51.000	0.000	1.660	1.665	1.656	0.435	1.660	2.529	1.660	-1.660	1.660
13.89	1.745	51.000	0.000	1.742	1.754	1.747	0.346	1.742	2.460	1.748	-1.742	1.729
14.58	1.833	51.000	0.000	1.829	1.843	1.833	0.261	1.829	2.373	1.834	-1.829	1.816
15.28	1.920	51.000	0.000	1.929	1.929	1.923	0.160	1.923	2.314	1.935	-1.923	1.875
15.97	2.007	51.000	0.000	2.019	2.018	2.005	0.072	2.016	2.227	2.023	-2.016	1.962
16.67	2.094	51.000	0.000	2.082	2.107	2.093	0.018	2.088	-1.185	2.077	-2.088	-0.909
17.36	2.182	51.000	0.000	2.185	2.190	2.183	-0.092	2.184	2.207	2.186	-2.184	1.982
18.06	2.269	51.000	0.000	2.264	2.278	2.271	-0.170	2.260	2.280	2.264	-2.260	1.909
18.75	2.356	51.000	0.000	2.349	2.365	2.356	-0.255	2.347	2.355	2.349	-2.347	1.833
19.44	2.443	51.000	0.000	2.438	2.450	2.443	-0.343	2.431	2.450	2.438	-2.431	1.739
20.14	2.531	51.000	0.000	2.534	2.536	2.531	-0.440	2.549	2.515	2.534	-2.549	1.674
20.83	2.618	51.000	0.000	2.618	2.621	2.621	-0.523	2.618	2.617	2.618	-2.618	1.571
21.53	2.705	51.000	0.000	2.703	2.709	2.704	-0.609	2.700	2.706	2.703	-2.700	1.483
22.22	2.793	51.000	0.000	2.787	2.793	2.794	-0.693	2.777	2.793	2.787	-2.777	1.396
22.92	2.880	51.000	0.000	2.883	2.887	2.878	-0.788	2.896	2.878	2.883	-2.896	1.311
23.61	2.967	51.000	0.000	2.965	2.974	2.967	-0.867	2.934	2.969	2.962	-2.934	1.220
24.31	3.054	51.000	0.000	3.059	3.046	3.054	-0.965	3.053	3.060	3.059	-3.053	1.129
25.00	3.142	51.000	0.000	3.135	0.044	3.140	-1.037	3.038	3.138	3.132	-3.038	1.051
25.69	-3.054	51.000	0.000	-3.064	3.058	-3.054	-1.123	3.031	-3.062	-3.065	-3.031	0.968
26.39	-2.967	51.000	0.000	-2.969	2.965	-2.967	-1.227	2.974	-2.964	-2.962	-2.974	0.870
27.08	-2.880	51.000	0.000	-2.879	2.878	-2.882	-1.296	2.845	-2.879	-2.893	-2.845	0.785
27.78	-2.793	51.000	0.000	-2.792	2.805	-2.796	-1.405	2.807	-2.792	-2.784	-2.807	0.697
28.47	-2.705	51.000	0.000	-2.706	2.707	-2.705	-1.479	2.702	-2.706	-2.710	-2.702	0.612
29.17	-2.618	51.000	0.000	-2.620	2.623	-2.618	-1.544	2.595	-2.620	-2.645	-2.595	0.525
29.86	-2.531	51.000	0.000	-2.519	2.534	-2.529	-1.656	2.509	-2.519	-2.533	-2.509	0.425
30.56	-2.443	51.000	0.000	-2.436	2.450	-2.443	-1.744	2.431	-2.436	-2.445	-2.431	0.341
31.25	-2.356	51.000	0.000	-2.359	2.365	-2.358	-1.822	2.356	-2.359	-2.367	-2.356	0.265
31.94	-2.269	51.000	0.000	-2.274	2.276	-2.267	-1.893	2.269	-2.274	-2.296	-2.269	0.180
32.64	-2.182	51.000	0.000	-2.178	2.190	-2.182	-2.015	2.183	-2.182	-2.174	-2.183	0.088
33.33	-2.094	51.000	0.000	-2.091	2.100	-2.096	0.965	2.093	-2.089	1.129	-2.093	-0.005
34.03	-2.007	51.000	0.000	-1.999	2.016	-2.011	0.952	2.004	-1.994	1.142	-2.004	-0.101
34.72	-1.920	51.000	0.000	-1.919	1.929	-1.918	-1.919	1.919	-1.919	-2.270	-1.919	-0.176
35.42	-1.833	51.000	0.000	-1.831	1.843	-1.834	-1.827	1.831	-1.832	-2.362	-1.831	-0.263
36.11	-1.745	51.000	0.000	-1.739	1.756	-1.745	-1.733	1.739	-1.742	-2.455	-1.739	-0.353
36.81	-1.658	51.000	0.000	-1.641	1.667	-1.658	-1.648	1.641	-1.636	-2.541	-1.641	-0.458
37.50	-1.571	51.000	0.000	-1.571	1.580	-1.574	-1.570	1.571	-1.571	-2.618	-1.571	-0.524
38.19	-1.484	51.000	0.000	-1.484	1.492	-1.485	-1.480	1.484	-1.489	-2.709	-1.484	-0.605
38.89	-1.396	51.000	0.000	-1.389	1.405	-1.400	-1.393	1.389	-1.381	-2.795	-1.389	-0.713
39.58	-1.309	51.000	0.000	-1.307	1.318	-1.311	-1.310	1.309	-1.306	-2.879	-1.309	-0.789
40.28	-1.222	51.000	0.000	-1.196	1.230	-1.225	-1.221	1.214	-1.179	-2.968	-1.214	-0.915
40.97	-1.134	51.000	0.000	-1.141	1.143	-1.133	-1.140	1.141	-1.148	-3.048	-1.141	-0.946
41.67	-1.047	51.000	0.000	2.094	1.056	-1.052	-1.056	1.055	2.134	-3.133	-1.055	2.055
42.36	-0.960	51.000	0.000	-0.948	0.969	-0.958	-0.948	0.961	-1.221	3.043	-0.961	-0.873
43.06	-0.873	51.000	0.000	-0.869	0.880	-0.871	-0.869	0.873	-1.241	2.964	-0.873	-0.854
43.75	-0.785	51.000	0.000	-0.791	0.794	-0.787	-0.791	0.784	-1.286	2.885	-0.784	-0.808
44.44	-0.698	51.000	0.000	-0.712	0.707	-0.695	-0.712	0.721	-1.399	2.807	-0.721	-0.695
45.14	-0.611	51.000	0.000	-0.626	0.616	-0.613	-0.626	0.631	-1.475	2.721	-0.631	-0.619
45.83	-0.524	51.000	0.000	-0.512	0.527	-0.522	-0.512	0.516	-1.585	2.607	-0.516	-0.509
46.53	-0.436	51.000	0.000	-0.442	0.440	-0.436	-0.442	0.466	-1.670	2.537	-0.466	-0.424
47.22	-0.349	51.000	0.000	-0.352	0.353	-0.351	-0.352	0.364	-1.749	2.447	-0.364	-0.346
47.92	-0.262	51.000	0.000	-0.261	0.265	-0.265	-0.261	0.289	-1.845	2.355	-0.289	-0.250
48.61	-0.175	51.000	0.000	-0.177	0.168	-0.176	-0.177	0.249	-1.937	2.272	-0.249	-0.158
49.31	-0.087	51.000	0.000	-0.087	0.079	-0.086	-0.087	0.099	-2.009	2.181	-0.099	-0.086
50.00	0.000	51.000	0.000	0.011	3.117	0.003	0.012	3.096	-2.105	2.082	-3.096	0.011
50.69	0.087	51.000	0.000	0.078	0.108	0.089	0.075	0.105	-2.173	2.019	-0.105	0.078
51.39	0.175	51.000	0.000	0.166	0.178	0.176	0.162	0.180	-2.260	1.932	-0.180	0.166
52.08	0.262	51.000	0.000	0.266	0.271	0.262	0.265	0.268	-2.360	1.829	-0.268	0.266
52.78	0.349	51.000	0.000	0.348	0.349	0.349	0.357	0.330	-2.442	1.738	-0.330	0.348
53.47	0.436	51.000	0.000	0.437	0.438	0.438	0.439	0.434	-2.532	1.655	-0.434	0.437
54.17	0.524	51.000	0.000	0.522	0.529	0.524	0.521	0.523	-2.616	1.574	-0.523	0.522
54.86	0.611	51.000	0.000	0.607	0.616	0.611	0.614	0.602	-2.702	1.480	-0.602	0.607
