percent	ang_W	r	phase	choose_angle	delta_1_x_3	delta_2_x_1	delta_3_x_2	delta_3_x_1	delta_1_x_2	delta_2_x_3
0.00	0.000	51.000	0.000	3.142	-0.014	2.971	-2.064	2.108	-2.971	-0.031
0.69	0.087	51.000	0.000	0.102	0.116	2.949	-2.183	1.979	-2.949	0.088
1.39	0.175	51.000	0.000	0.234	0.219	0.277	-2.328	1.876	-0.277	0.234
2.08	0.262	51.000	0.000	0.269	0.273	0.260	-2.364	1.822	-0.260	0.269
2.78	0.349	51.000	0.000	0.363	0.297	0.470	-2.457	1.797	-0.470	0.363
3.47	0.436	51.000	0.000	0.412	0.404	0.424	-2.507	1.691	-0.424	0.412
4.17	0.524	51.000	0.000	0.539	0.594	0.488	-2.634	1.501	-0.488	0.539
4.86	0.611	51.000	0.000	0.608	0.627	0.593	-2.702	1.467	-0.593	0.608
5.56	0.698	51.000	0.000	0.676	0.678	0.674	-2.770	1.416	-0.674	0.676
6.25	0.785	51.000	0.000	0.746	0.693	0.770	-2.840	1.401	-0.770	0.746
6.94	0.873	51.000	0.000	0.878	0.827	0.891	-2.972	1.267	-0.891	0.878
7.64	0.960	51.000	0.000	-2.094	-2.050	0.978	-3.076	-2.139	-0.978	0.982
8.33	1.047	51.000	0.000	1.053	0.823	1.068	-3.133	1.271	-1.068	1.039
9.03	1.134	51.000	0.000	1.132	0.906	1.135	3.061	1.188	-1.135	1.128
9.72	1.222	51.000	0.000	1.186	0.958	1.235	2.935	1.136	-1.235	1.254
10.42	1.309	51.000	0.000	1.310	0.706	1.310	2.911	1.388	-1.310	1.277
11.11	1.396	51.000	0.000	1.425	0.685	1.425	2.755	1.409	-1.425	1.434
11.81	1.484	51.000	0.000	1.474	0.592	1.474	2.735	1.502	-1.474	1.453
12.50	1.571	51.000	0.000	1.565	0.514	1.565	2.639	1.580	-1.565	1.550
13.19	1.658	51.000	0.000	1.701	0.452	1.701	2.385	1.642	-1.701	1.803
13.89	1.745	51.000	0.000	1.753	0.344	1.753	2.430	1.751	-1.753	1.759
14.58	1.833	51.000	0.000	1.839	0.222	1.839	2.433	1.873	-1.839	1.756
15.28	1.920	51.000	0.000	1.941	0.148	1.935	2.303	1.947	-1.935	1.886
15.97	2.007	51.000	0.000	2.010	0.073	1.998	2.314	2.022	-1.998	1.875
16.67	2.094	51.000	0.000	2.069	0.023	2.066	2.195	2.072	-2.066	1.994
17.36	2.182	51.000	0.000	2.180	-0.061	2.205	-1.328	2.155	-2.205	-0.767
18.06	2.269	51.000	0.000	2.295	-0.200	2.260	2.401	2.295	-2.260	1.788
18.75	2.356	51.000	0.000	2.372	-0.278	2.368	2.383	2.372	-2.368	1.806
19.44	2.443	51.000	0.000	2.493	-0.399	2.470	2.528	2.493	-2.470	1.661
20.14	2.531	51.000	0.000	2.530	-0.436	2.560	2.489	2.530	-2.560	1.700
20.83	2.618	51.000	0.000	2.617	-0.523	2.662	2.572	2.617	-2.662	1.616
21.53	2.705	51.000	0.000	2.710	-0.616	2.752	2.681	2.710	-2.752	1.508
22.22	2.793	51.000	0.000	2.769	-0.674	2.735	2.789	2.769	-2.735	1.399
22.92	2.880	51.000	0.000	2.890	-0.796	2.766	2.942	2.890	-2.766	1.246
23.61	2.967	51.000	0.000	2.963	-0.883	0.119	2.950	2.977	-0.119	1.239
24.31	3.054	51.000	0.000	3.043	-0.942	2.961	3.050	3.037	-2.961	1.139
25.00	3.142	51.000	0.000	3.132	-1.045	0.157	3.125	3.139	-0.157	1.064
25.69	-3.054	51.000	0.000	-3.078	-1.129	0.245	-3.097	-3.060	-0.245	1.002
26.39	-2.967	51.000	0.000	-2.990	-1.195	2.957	-2.987	-2.993	-2.957	0.892
27.08	-2.880	51.000	0.000	-2.913	-1.332	2.947	-2.879	-2.857	-2.947	0.785
27.78	-2.793	51.000	0.000	-2.795	-1.384	2.775	-2.795	-2.805	-2.775	0.700
28.47	-2.705	51.000	0.000	-2.723	-1.502	2.777	-2.723	-2.687	-2.777	0.628
29.17	-2.618	51.000	0.000	-2.629	-1.544	2.613	-2.629	-2.645	-2.613	0.535
