percent	ang_W	r	phase	choose_angle_GEOMETRIC	choose_angle_MSC_ULA	choose_angle_MSC_UCA	delta_1_x_5	delta_2_x_1	delta_3_x_2	delta_4_x_3	delta_5_x_4	delta_5_x_1	delta_1_x_2	delta_2_x_3	delta_3_x_4	delta_4_x_5
0.00	0.000	51.000	0.000	0.005	3.142	0.000	0.005	-0.002	0.007	2.515	-1.262	1.251	-2.511	-0.007	-0.002	0.005
0.69	0.087	51.000	0.000	0.086	0.089	0.087	0.093	0.086	0.081	2.429	-1.349	1.164	-2.599	-0.081	0.085	0.092
1.39	0.175	51.000	0.000	0.174	0.178	0.175	0.181	0.174	0.168	2.342	-1.436	1.076	-2.687	-0.168	0.171	0.179
2.08	0.262	51.000	0.000	0.261	0.267	0.262	0.268	0.261	0.255	2.255	-1.523	0.989	-2.775	-0.255	0.258	0.266
2.78	0.349	51.000	0.000	0.349	0.356	0.349	0.356	0.349	0.343	2.168	-1.609	0.901	-2.863	-0.343	0.345	0.353
3.47	0.436	51.000	0.000	0.437	0.445	0.436	0.443	0.437	0.430	2.082	-1.696	0.814	-2.950	-0.430	0.432	0.440
4.17	0.524	51.000	0.000	0.526	0.534	0.524	0.530	0.525	0.518	1.995	-1.783	0.726	-3.038	-0.518	0.519	0.526
4.86	0.611	51.000	0.000	0.613	0.623	0.611	0.618	0.613	0.605	1.908	-1.870	0.639	-3.126	-0.605	0.605	0.613
5.56	0.698	51.000	0.000	0.696	0.710	0.698	0.552	0.701	0.693	1.821	-1.956	0.705	3.069	-0.693	0.692	0.700
6.25	0.785	51.000	0.000	0.786	0.799	0.785	0.465	0.788	0.781	1.734	-2.043	0.792	2.981	-0.781	0.779	0.786
6.94	0.873	51.000	0.000	0.873	0.888	0.873	0.377	0.876	0.868	1.647	-2.130	0.879	2.894	-0.868	0.866	0.873
7.64	0.960	51.000	0.000	0.960	0.976	0.960	0.290	0.964	0.956	1.560	-2.216	0.966	2.806	-0.956	0.953	0.960
8.33	1.047	51.000	0.000	1.046	1.065	1.047	0.203	1.052	1.044	1.473	-2.303	1.053	2.718	-1.044	1.041	1.046
9.03	1.134	51.000	0.000	1.133	1.152	1.134	0.116	1.139	1.132	1.386	-2.390	1.140	2.630	-1.132	1.128	1.133
9.72	1.222	51.000	0.000	1.223	1.241	1.222	0.029	1.227	1.219	1.298	-2.477	1.227	2.543	-1.219	1.215	1.220
10.42	1.309	51.000	0.000	1.307	1.328	1.309	-0.058	1.315	1.307	1.302	-2.563	1.314	2.455	-1.307	1.211	1.307
