percent	ang_W	r	phase	choose_angle	delta_1_x_5	delta_2_x_1	delta_3_x_2	delta_4_x_3	delta_5_x_4	delta_5_x_1	delta_1_x_2	delta_2_x_3	delta_3_x_4	delta_4_x_5
0.00	0.000	51.000	0.000	0.027	-0.032	0.014	0.206	2.486	-1.238	1.288	-2.527	-0.206	0.027	-0.019
0.69	0.087	51.000	0.000	0.127	0.127	0.081	0.211	2.384	-1.334	1.129	-2.594	-0.211	0.129	0.078
1.39	0.175	51.000	0.000	0.202	0.220	0.169	0.218	2.337	-1.459	1.037	-2.682	-0.218	0.176	0.202
2.08	0.262	51.000	0.000	0.252	0.256	0.292	2.928	2.273	-1.505	1.001	-2.806	-2.928	0.241	0.248
2.78	0.349	51.000	0.000	0.419	0.419	0.321	0.454	2.213	-1.687	0.838	-2.834	-0.454	0.300	0.430
3.47	0.436	51.000	0.000	0.463	-2.352	0.496	0.346	2.083	-1.760	-2.674	-3.009	-0.346	0.431	0.504
4.17	0.524	51.000	0.000	0.468	0.427	0.577	0.385	2.045	-1.795	0.830	-3.090	-0.385	0.468	0.539
4.86	0.611	51.000	0.000	0.564	0.380	0.564	0.598	1.930	-1.796	0.877	-3.077	-0.598	0.584	0.540
5.56	0.698	51.000	0.000	0.712	0.325	0.712	0.699	1.707	-1.870	0.931	3.058	-0.699	0.806	0.613
6.25	0.785	51.000	0.000	0.776	0.400	0.780	0.776	1.745	-2.025	0.857	2.990	-0.776	0.768	0.768
6.94	0.873	51.000	0.000	0.884	0.153	0.903	0.884	1.421	-2.022	1.104	2.867	-0.884	1.092	0.766
7.64	0.960	51.000	0.000	0.985	0.611	0.890	0.994	1.516	-2.232	0.645	2.880	-0.994	0.997	0.975
8.33	1.047	51.000	0.000	1.064	0.206	1.053	1.119	-2.073	-2.332	1.050	2.717	-1.119	-1.697	1.075
9.03	1.134	51.000	0.000	1.128	0.065	1.124	1.131	-2.198	-2.295	1.192	2.646	-1.131	-1.572	1.038
