percent	ang_W	r	phase	choose_angle_GEOMETRIC	choose_angle_MSC_ULA	choose_angle_MSC_UCA	delta_1_x_5	delta_2_x_1	delta_3_x_2	delta_4_x_3	delta_5_x_4	delta_5_x_1	delta_1_x_2	delta_2_x_3	delta_3_x_4	delta_4_x_5
0.00	0.000	51.000	0.000	0.010	0.040	0.000	0.009	0.010	2.971	2.528	-1.280	1.248	-2.523	-2.971	-0.015	0.023
0.69	0.087	51.000	0.000	0.073	0.094	0.089	0.089	0.073	0.025	2.441	-1.340	1.167	-2.586	-0.025	0.072	0.083
1.39	0.175	51.000	0.000	0.192	0.180	0.175	0.220	0.185	2.992	2.356	-1.456	1.037	-2.698	-2.992	0.157	0.199
2.08	0.262	51.000	0.000	0.275	0.267	0.262	0.288	0.275	0.228	2.264	-1.549	0.968	-2.788	-0.228	0.249	0.293
2.78	0.349	51.000	0.000	0.348	0.353	0.349	0.348	0.344	0.357	2.173	-1.611	0.908	-2.857	-0.357	0.341	0.354
3.47	0.436	51.000	0.000	0.433	0.447	0.435	0.474	0.423	0.422	2.102	-1.699	0.782	-2.936	-0.422	0.411	0.443
4.17	0.524	51.000	0.000	0.522	0.536	0.524	-2.326	0.521	0.512	1.968	-1.780	-2.701	-3.034	-0.512	0.546	0.524
4.86	0.611	51.000	0.000	0.600	0.621	0.611	0.495	0.615	0.588	1.914	-1.857	0.761	-3.128	-0.588	0.599	0.600
5.56	0.698	51.000	0.000	0.698	0.710	0.700	-2.372	0.693	0.703	1.864	-1.993	-2.655	3.077	-0.703	0.649	0.737
6.25	0.785	51.000	0.000	0.781	0.801	0.787	0.426	0.796	0.764	1.749	-2.038	0.831	2.974	-0.764	0.764	0.781
6.94	0.873	51.000	0.000	0.864	0.887	0.874	0.393	0.864	0.872	1.624	-2.117	0.863	2.906	-0.872	0.890	0.861
7.64	0.960	51.000	0.000	0.960	0.976	0.960	0.259	0.960	0.968	1.553	-2.211	0.997	2.810	-0.968	0.960	0.954
8.33	1.047	51.000	0.000	1.047	1.065	1.044	0.195	1.047	1.052	1.472	-2.303	1.062	2.723	-1.052	1.041	1.046
9.03	1.134	51.000	0.000	1.131	1.152	1.136	0.126	1.123	1.140	1.325	-2.385	1.131	2.646	-1.140	1.188	1.128
9.72	1.222	51.000	0.000	1.222	1.241	1.223	0.037	1.247	1.214	-2.005	-2.480	1.220	2.523	-1.214	-1.765	1.224
10.42	1.309	51.000	0.000	1.319	1.330	1.309	-0.063	1.312	1.320	1.342	-2.574	1.320	2.458	-1.320	1.171	1.318
