percent	ang_W	r	phase	choose_angle	choose_angle_GN	delta_1_x_5	delta_2_x_1	delta_3_x_2	delta_4_x_3	delta_5_x_4	delta_5_x_1	delta_1_x_2	delta_2_x_3	delta_3_x_4	delta_4_x_5
0.00	0.000	51.000	0.000	0.010	NaN	0.014	-0.001	0.074	2.507	-1.263	1.243	-2.512	-0.074	0.006	0.006
0.69	0.087	51.000	0.000	0.093	NaN	0.121	0.079	3.020	2.442	-1.363	1.136	-2.592	-3.020	0.071	0.107
1.39	0.175	51.000	0.000	0.172	NaN	0.202	0.172	0.091	2.352	-1.445	1.054	-2.685	-0.091	0.162	0.188
2.08	0.262	51.000	0.000	0.268	NaN	0.302	0.254	0.268	2.273	-1.551	0.955	-2.767	-0.268	0.240	0.295
2.78	0.349	51.000	0.000	0.345	NaN	0.318	0.345	0.366	2.167	-1.601	0.939	-2.859	-0.366	0.346	0.344
3.47	0.436	51.000	0.000	0.441	1.733	0.405	0.437	0.470	2.070	-1.698	0.851	-2.951	-0.470	0.443	0.441
4.17	0.524	51.000	0.000	0.531	NaN	0.572	0.529	0.496	1.981	-1.769	0.685	-3.042	-0.496	0.533	0.512
4.86	0.611	51.000	0.000	0.610	NaN	-2.475	0.626	0.588	1.913	-1.877	-2.551	-3.139	-0.588	0.601	0.620
5.56	0.698	51.000	0.000	0.698	1.269	0.534	0.678	0.725	1.809	-1.948	0.722	3.092	-0.725	0.704	0.692
6.25	0.785	51.000	0.000	0.785	-1.005	0.517	0.785	0.786	1.732	-2.050	0.740	2.985	-0.786	0.781	0.794
6.94	0.873	51.000	0.000	0.873	NaN	0.384	0.863	0.878	1.678	-2.139	0.873	2.907	-0.878	0.835	0.883
7.64	0.960	51.000	0.000	0.958	NaN	0.349	0.951	0.972	1.556	-2.236	0.907	2.819	-0.972	0.958	0.979
8.33	1.047	51.000	0.000	1.049	NaN	0.207	1.049	1.040	1.508	-2.307	1.050	2.721	-1.040	1.005	1.050
9.03	1.134	51.000	0.000	1.125	NaN	0.132	1.145	1.116	1.425	-2.393	1.125	2.625	-1.116	1.088	1.136
9.72	1.222	51.000	0.000	1.214	1.197	0.037	1.214	1.205	1.410	-2.470	1.219	2.556	-1.205	1.104	1.213
10.42	1.309	51.000	0.000	1.305	NaN	-0.020	1.299	1.310	1.372	-2.589	1.276	2.470	-1.310	1.141	1.332
11.11	1.396	51.000	0.000	1.388	-0.857	-0.156	1.423	1.392	1.330	-2.641	1.412	2.347	-1.392	1.183	1.385
11.81	1.484	51.000	0.000	1.479	NaN	-0.216	1.479	1.477	1.488	-2.742	1.473	2.291	-1.477	1.025	1.485
12.50	1.571	51.000	0.000	1.581	-1.289	-0.327	1.538	1.581	1.583	-2.820	1.583	2.232	-1.581	0.930	1.563
13.19	1.658	51.000	0.000	1.655	-1.899	-0.398	1.664	1.664	1.620	-2.909	1.655	2.106	-1.664	0.893	1.652
13.89	1.745	51.000	0.000	1.749	-1.342	-0.482	1.744	1.740	1.756	-3.010	1.739	2.026	-1.740	0.758	1.754
14.58	1.833	51.000	0.000	1.826	2.199	-0.569	-1.074	1.798	1.843	-3.084	1.826	-1.440	-1.798	0.671	1.827
15.28	1.920	51.000	0.000	1.917	NaN	-0.688	-1.099	1.922	1.912	3.130	1.944	-1.414	-1.922	0.601	1.896
15.97	2.007	51.000	0.000	2.008	NaN	-0.751	1.728	2.012	1.988	3.048	2.008	2.042	-2.012	0.525	1.979
16.67	2.094	51.000	0.000	2.098	NaN	-0.841	1.721	2.108	2.081	2.913	2.098	2.049	-2.108	0.432	2.113
17.36	2.182	51.000	0.000	2.183	-0.914	-0.926	1.624	2.183	2.170	2.843	2.183	2.146	-2.183	0.344	2.183
18.06	2.269	51.000	0.000	2.258	NaN	-0.995	1.508	2.249	2.260	2.768	2.252	2.262	-2.249	0.253	2.258
18.75	2.356	51.000	0.000	2.354	NaN	-1.102	1.416	2.361	2.353	2.674	2.359	2.354	-2.361	0.160	2.352
19.44	2.443	51.000	0.000	2.462	2.029	-1.173	1.302	2.456	2.436	2.520	2.429	2.468	-2.456	0.077	2.506
20.14	2.531	51.000	0.000	2.530	3.012	-1.279	1.245	2.530	2.511	2.714	2.536	2.525	-2.530	0.002	2.313
20.83	2.618	51.000	0.000	2.616	NaN	-1.363	1.158	2.611	2.628	-0.716	2.620	2.612	-2.611	-0.115	-0.541
21.53	2.705	51.000	0.000	2.692	1.461	-1.424	1.049	2.710	2.703	2.639	2.680	2.721	-2.710	-0.190	2.388
22.22	2.793	51.000	0.000	2.800	NaN	-1.533	0.965	2.800	2.785	2.835	2.790	2.805	-2.800	-0.272	2.191
22.92	2.880	51.000	0.000	2.881	NaN	-1.636	0.894	2.858	2.881	2.909	2.892	2.876	-2.858	-0.368	2.118
23.61	2.967	51.000	0.000	2.964	NaN	-1.720	0.806	2.942	2.981	2.955	2.976	2.964	-2.942	-0.468	2.071
24.31	3.054	51.000	0.000	3.050	NaN	-1.773	0.711	2.980	3.059	3.041	3.030	3.059	-2.980	-0.545	1.986
25.00	3.142	51.000	0.000	-3.141	NaN	-1.890	0.631	3.088	-3.137	3.138	-3.137	3.139	-3.088	-0.633	1.888
25.69	-3.054	51.000	0.000	-3.050	-2.794	-1.981	0.539	0.157	-3.070	-3.047	-3.046	-3.052	-0.157	-0.700	1.790
26.39	-2.967	51.000	0.000	-2.977	NaN	-2.049	0.446	2.986	-2.978	-2.954	-2.977	-2.960	-2.986	-0.792	1.698
27.08	-2.880	51.000	0.000	-2.885	-0.748	-2.138	0.372	2.862	-2.871	-2.895	-2.889	-2.885	-2.862	-0.899	1.638
