percent	ang_W	r	phase	choose_angle	choose_angle_GN	delta_1_x_5	delta_2_x_1	delta_3_x_2	delta_4_x_3	delta_5_x_4	delta_5_x_1	delta_1_x_2	delta_2_x_3	delta_3_x_4	delta_4_x_5
0.00	0.000	51.000	0.000	0.030	NaN	-0.003	0.007	0.152	2.515	-1.287	1.260	-2.520	-0.152	-0.001	0.030
0.69	0.087	51.000	0.000	0.101	NaN	0.101	0.091	0.174	2.374	-1.305	1.155	-2.604	-0.174	0.139	0.049
1.39	0.175	51.000	0.000	0.185	NaN	0.198	0.185	0.095	2.349	-1.457	1.059	-2.699	-0.095	0.164	0.201
2.08	0.262	51.000	0.000	0.211	NaN	0.211	0.263	0.147	2.249	-1.462	1.045	-2.777	-0.147	0.264	0.205
2.78	0.349	51.000	0.000	0.317	2.104	0.267	0.379	0.256	2.197	-1.608	0.989	-2.892	-0.256	0.317	0.352
3.47	0.436	51.000	0.000	0.439	NaN	0.438	0.434	0.469	2.064	-1.696	0.819	-2.947	-0.469	0.450	0.439
4.17	0.524	51.000	0.000	0.508	NaN	0.456	0.542	0.456	2.002	-1.764	0.800	-3.056	-0.456	0.511	0.508
4.86	0.611	51.000	0.000	0.625	2.386	0.454	0.625	0.632	1.877	-1.863	0.802	-3.138	-0.632	0.637	0.606
5.56	0.698	51.000	0.000	0.684	-1.022	-2.381	0.688	0.680	1.783	-1.927	-2.646	3.082	-0.680	0.730	0.671
6.25	0.785	51.000	0.000	0.780	NaN	0.476	0.815	0.736	1.732	-2.037	0.780	2.954	-0.736	0.781	0.780
6.94	0.873	51.000	0.000	0.880	NaN	0.307	0.891	0.880	1.641	-2.128	0.950	2.879	-0.880	0.872	0.872
7.64	0.960	51.000	0.000	0.968	-2.510	0.255	0.961	0.982	1.561	-2.224	1.001	2.808	-0.982	0.952	0.968
8.33	1.047	51.000	0.000	1.063	-1.995	0.130	1.050	1.063	1.337	-2.266	1.127	2.720	-1.063	1.176	1.009
9.03	1.134	51.000	0.000	1.133	NaN	0.016	1.196	1.124	1.505	-2.389	1.241	2.574	-1.124	1.008	1.133
9.72	1.222	51.000	0.000	1.216	NaN	0.016	1.219	1.212	1.409	-2.467	1.241	2.550	-1.212	1.104	1.211
10.42	1.309	51.000	0.000	1.314	NaN	-0.085	1.281	1.336	-1.987	-2.548	1.341	2.489	-1.336	-1.783	1.291
11.11	1.396	51.000	0.000	1.416	-2.098	-0.080	1.435	1.406	-2.131	-2.683	1.337	2.335	-1.406	-1.639	1.426
11.81	1.484	51.000	0.000	1.514	NaN	-0.222	1.569	1.465	1.526	-2.771	1.478	2.201	-1.465	0.987	1.514
12.50	1.571	51.000	0.000	1.570	NaN	-0.334	1.593	1.570	1.528	-2.800	1.591	2.177	-1.570	0.985	1.544
13.19	1.658	51.000	0.000	1.645	-2.799	-0.408	1.757	1.642	1.643	-2.902	1.664	2.013	-1.642	0.871	1.645
13.89	1.745	51.000	0.000	1.754	NaN	-0.452	1.483	1.789	1.750	-3.014	1.708	2.287	-1.789	0.763	1.757
14.58	1.833	51.000	0.000	1.798	NaN	-0.576	1.683	1.842	1.763	-3.019	1.833	2.087	-1.842	0.750	1.763
