percent	ang_W	r	phase	choose_angle	delta_1_x_5	delta_2_x_1	delta_3_x_2	delta_4_x_3	delta_5_x_4	delta_5_x_1	delta_1_x_2	delta_2_x_3	delta_3_x_4	delta_4_x_5
0.00	0.000	51.000	0.000	0.015	0.013	-0.015	3.039	2.536	-1.273	1.244	-2.498	-3.039	-0.023	0.016
0.69	0.087	51.000	0.000	0.103	0.106	0.099	3.040	2.426	-1.363	1.150	-2.612	-3.040	0.087	0.106
1.39	0.175	51.000	0.000	0.175	0.177	0.175	0.163	2.332	-1.423	1.080	-2.688	-0.163	0.181	0.166
2.08	0.262	51.000	0.000	0.269	0.279	0.256	0.294	2.245	-1.522	0.978	-2.769	-0.294	0.269	0.266
2.78	0.349	51.000	0.000	0.347	0.361	0.347	0.342	2.167	-1.607	0.896	-2.860	-0.342	0.346	0.350
3.47	0.436	51.000	0.000	0.438	0.466	0.438	0.433	2.069	-1.692	0.791	-2.951	-0.433	0.444	0.436
4.17	0.524	51.000	0.000	0.522	0.507	0.520	0.525	2.007	-1.788	0.749	-3.033	-0.525	0.506	0.531
4.86	0.611	51.000	0.000	0.606	-2.420	0.617	0.585	1.917	-1.872	-2.607	-3.130	-0.585	0.596	0.616
5.56	0.698	51.000	0.000	0.696	-2.448	0.694	0.698	1.831	-1.965	-2.578	3.076	-0.698	0.682	0.708
6.25	0.785	51.000	0.000	0.790	0.510	0.792	0.786	1.712	-2.046	0.746	2.978	-0.786	0.801	0.790
6.94	0.873	51.000	0.000	0.862	0.397	0.876	0.860	1.651	-2.130	0.860	2.894	-0.860	0.862	0.873
7.64	0.960	51.000	0.000	0.959	0.287	0.957	0.959	1.577	-2.218	0.970	2.812	-0.959	0.936	0.961
8.33	1.047	51.000	0.000	1.046	0.211	1.057	1.040	1.477	-2.308	1.046	2.713	-1.040	1.036	1.051
9.03	1.134	51.000	0.000	1.141	0.114	1.144	1.129	1.434	-2.397	1.143	2.625	-1.129	1.079	1.141
9.72	1.222	51.000	0.000	1.230	0.019	1.246	1.215	1.290	-2.478	1.238	2.524	-1.215	1.223	1.221
10.42	1.309	51.000	0.000	1.310	-0.058	1.308	1.311	-2.008	-2.554	1.315	2.462	-1.311	-1.762	1.297
11.11	1.396	51.000	0.000	1.396	-0.152	1.405	1.402	1.337	-2.646	1.409	2.365	-1.402	1.176	1.390
11.81	1.484	51.000	0.000	1.502	-0.245	1.520	1.473	1.512	-2.735	1.502	2.250	-1.473	1.001	1.479
12.50	1.571	51.000	0.000	1.567	-0.307	1.575	1.567	1.564	-2.829	1.564	2.194	-1.567	0.949	1.572
13.19	1.658	51.000	0.000	1.667	-0.416	1.676	1.667	1.634	-2.903	1.673	2.094	-1.667	0.880	1.646
13.89	1.745	51.000	0.000	1.743	-0.481	1.767	1.740	1.738	-3.003	1.738	2.002	-1.740	0.775	1.747
14.58	1.833	51.000	0.000	1.825	-0.576	1.726	1.853	1.798	-3.074	1.833	2.044	-1.853	0.715	1.818
15.28	1.920	51.000	0.000	1.921	-0.670	1.801	1.926	1.916	3.117	1.926	1.969	-1.926	0.598	1.910
15.97	2.007	51.000	0.000	2.006	-0.749	1.664	2.020	2.001	3.036	2.006	2.106	-2.020	0.513	1.991
16.67	2.094	51.000	0.000	2.102	-0.845	1.641	2.106	2.091	2.951	2.102	2.129	-2.106	0.422	2.076
17.36	2.182	51.000	0.000	2.181	-0.926	1.589	2.179	2.182	2.853	2.183	2.181	-2.179	0.331	2.174
18.06	2.269	51.000	0.000	2.271	-1.014	1.498	2.266	2.275	2.756	2.271	2.271	-2.266	0.238	2.271
18.75	2.356	51.000	0.000	2.348	-1.097	1.422	2.369	2.333	2.701	2.354	2.348	-2.369	0.180	2.326
19.44	2.443	51.000	0.000	2.446	-1.177	1.312	2.460	2.427	2.617	2.434	2.458	-2.460	0.086	2.410
20.14	2.531	51.000	0.000	2.534	-1.251	1.218	2.539	2.529	-0.787	2.507	2.552	-2.539	-0.016	-0.469
20.83	2.618	51.000	0.000	2.617	-1.364	1.170	2.615	2.620	-0.715	2.621	2.600	-2.615	-0.107	-0.542
21.53	2.705	51.000	0.000	2.717	-1.446	1.051	2.717	2.698	2.753	2.703	2.719	-2.717	-0.184	2.274
22.22	2.793	51.000	0.000	2.789	-1.533	0.973	2.832	2.787	2.768	2.789	2.797	-2.832	-0.274	2.259
22.92	2.880	51.000	0.000	2.882	-1.617	0.879	2.897	2.882	2.875	2.873	2.891	-2.897	-0.368	2.151
23.61	2.967	51.000	0.000	2.967	-1.711	0.797	3.045	2.963	2.963	2.967	2.973	-3.045	-0.450	2.064
24.31	3.054	51.000	0.000	3.050	-1.789	0.707	0.103	3.049	3.051	3.046	3.062	-0.103	-0.535	1.975
25.00	3.142	51.000	0.000	3.136	-1.882	0.636	3.026	-3.138	3.131	3.139	3.134	-3.026	-0.632	1.895
25.69	-3.054	51.000	0.000	-3.056	-1.965	0.542	3.012	-3.054	-3.056	-3.061	-3.056	-3.012	-0.716	1.799
26.39	-2.967	51.000	0.000	-2.970	-2.052	0.450	3.003	-2.970	-2.970	-2.974	-2.963	-3.003	-0.800	1.714
27.08	-2.880	51.000	0.000	-2.878	-2.149	0.370	2.875	-2.873	-2.888	-2.878	-2.883	-2.875	-0.897	1.632
27.78	-2.793	51.000	0.000	-2.802	-2.208	0.272	2.811	-2.802	-2.791	-2.819	-2.786	-2.811	-0.968	1.535
28.47	-2.705	51.000	0.000	-2.700	-2.345	0.192	2.700	-2.691	-2.710	-2.682	-2.705	-2.700	-1.079	1.453
29.17	-2.618	51.000	0.000	-2.610	0.581	0.106	2.605	-2.610	-2.611	0.675	-2.619	-2.605	-1.160	1.355
29.86	-2.531	51.000	0.000	-2.527	0.524	0.016	2.525	-2.528	-2.521	0.733	-2.529	-2.525	-1.242	1.264
30.56	-2.443	51.000	0.000	-2.451	-2.463	-0.061	2.446	-2.446	-2.451	-2.564	-2.452	-2.446	-1.324	1.194
31.25	-2.356	51.000	0.000	-2.347	-2.319	-0.166	2.353	-2.334	-2.363	-2.708	-2.347	-2.353	-1.436	1.106
31.94	-2.269	51.000	0.000	-2.278	-2.281	-0.232	2.249	-2.221	-2.278	-2.745	-2.281	-2.249	-1.549	1.022
32.64	-2.182	51.000	0.000	-2.181	-2.169	-0.334	2.181	-2.188	-2.181	-2.857	-2.179	-2.181	-1.582	0.924
33.33	-2.094	51.000	0.000	-2.091	-2.086	-0.413	2.084	-2.106	-2.091	-2.941	-2.100	-2.084	-1.664	0.835
34.03	-2.007	51.000	0.000	-2.014	-2.015	-0.499	2.001	1.358	-2.015	-3.012	-2.014	-2.001	1.155	0.758
34.72	-1.920	51.000	0.000	-1.920	-1.929	-0.595	1.920	1.358	-1.920	-3.097	-1.918	-1.920	1.155	0.663
35.42	-1.833	51.000	0.000	-1.828	-1.829	-0.686	1.827	1.376	-1.835	3.086	-1.827	-1.827	1.137	0.578
36.11	-1.745	51.000	0.000	-1.744	-1.732	-0.776	1.750	-2.064	-1.750	2.989	-1.738	-1.750	-1.706	0.493
36.81	-1.658	51.000	0.000	-1.664	-1.666	-0.840	1.664	-2.120	-1.663	2.922	-1.674	-1.664	-1.650	0.406
37.50	-1.571	51.000	0.000	-1.572	-1.570	-0.925	1.568	-2.198	-1.575	2.827	-1.589	-1.568	-1.572	0.318
38.19	-1.484	51.000	0.000	-1.482	-1.467	-1.070	1.490	-2.288	-1.499	2.724	-1.443	-1.490	-1.482	0.243
38.89	-1.396	51.000	0.000	-1.388	-1.408	-1.092	1.389	-2.384	-1.369	2.664	-1.421	-1.389	-1.386	0.113
39.58	-1.309	51.000	0.000	-1.302	-1.311	-1.105	1.307	-2.486	-1.298	2.567	-1.409	-1.307	-1.284	0.041
40.28	-1.222	51.000	0.000	-1.220	-1.230	-1.115	1.227	-2.565	-1.214	2.487	-1.399	-1.227	-1.205	-0.043
40.97	-1.134	51.000	0.000	-1.138	-1.145	-1.158	1.138	-2.636	-1.114	2.401	-1.355	-1.138	-1.134	-0.143
41.67	-1.047	51.000	0.000	-1.046	-1.045	-1.094	1.046	-2.724	-1.025	2.302	-1.420	-1.046	-1.046	-0.232
42.36	-0.960	51.000	0.000	-0.974	-0.948	-0.999	0.974	-2.816	-0.984	2.205	-1.514	-0.974	-0.954	-0.273
43.06	-0.873	51.000	0.000	-0.881	-0.874	-0.890	0.892	-2.904	-0.881	2.130	-1.623	-0.892	-0.866	-0.376
43.75	-0.785	51.000	0.000	-0.776	-0.782	-0.794	0.790	-3.000	-0.686	2.039	-1.719	-0.790	-0.770	-0.570
44.44	-0.698	51.000	0.000	-0.693	-0.699	-0.688	0.686	-3.067	-0.718	1.955	-1.826	-0.686	-0.703	-0.539
45.14	-0.611	51.000	0.000	-0.608	-0.608	-0.613	0.606	3.122	2.598	1.865	-1.901	-0.606	-0.608	2.429
45.83	-0.524	51.000	0.000	-0.526	-0.527	-0.525	0.525	3.037	-0.685	1.784	-1.988	-0.525	-0.524	-0.571
46.53	-0.436	51.000	0.000	-0.437	-0.436	-0.438	0.440	2.951	-0.830	1.693	-2.076	-0.440	-0.437	-0.426
47.22	-0.349	51.000	0.000	-0.341	-0.340	-0.360	0.341	2.870	-0.921	1.597	-2.153	-0.341	-0.356	-0.336
47.92	-0.262	51.000	0.000	-0.269	-0.263	-0.269	0.274	2.771	-0.972	1.520	-2.244	-0.274	-0.258	-0.285
48.61	-0.175	51.000	0.000	-0.180	-0.162	-0.180	0.198	2.674	-1.070	1.419	-2.333	-0.198	-0.161	-0.187
49.31	-0.087	51.000	0.000	-0.090	-0.092	-0.090	0.120	2.603	-1.171	1.348	-2.423	-0.120	-0.090	-0.086
50.00	0.000	51.000	0.000	-0.006	-0.006	-0.003	0.028	2.516	-1.251	1.262	-2.510	-0.028	-0.003	-0.006
50.69	0.087	51.000	0.000	0.093	0.114	0.084	3.075	2.432	-1.359	1.143	-2.597	-3.075	0.081	0.103
51.39	0.175	51.000	0.000	0.172	0.173	0.184	0.060	2.342	-1.428	1.084	-2.697	-0.060	0.172	0.171
52.08	0.262	51.000	0.000	0.255	0.293	0.252	0.251	2.259	-1.523	0.964	-2.765	-0.251	0.255	0.267
52.78	0.349	51.000	0.000	0.341	0.341	0.347	0.341	2.178	-1.610	0.916	-2.860	-0.341	0.335	0.354
53.47	0.436	51.000	0.000	0.444	0.444	0.427	0.477	2.062	-1.693	0.812	-2.941	-0.477	0.451	0.436
54.17	0.524	51.000	0.000	0.519	0.496	0.530	0.506	2.002	-1.783	0.761	-3.044	-0.506	0.512	0.527
54.86	0.611	51.000	0.000	0.612	0.617	0.608	0.612	1.900	-1.864	0.639	-3.121	-0.612	0.613	0.607
55.56	0.698	51.000	0.000	0.697	0.472	0.709	0.693	1.819	-1.954	0.785	3.061	-0.693	0.694	0.697
56.25	0.785	51.000	0.000	0.782	0.405	0.782	0.785	1.747	-2.035	0.852	2.988	-0.785	0.766	0.778
56.94	0.873	51.000	0.000	0.864	0.444	0.877	0.864	1.652	-2.143	0.812	2.893	-0.864	0.862	0.887
57.64	0.960	51.000	0.000	0.957	0.308	0.957	0.957	1.557	-2.217	0.948	2.813	-0.957	0.956	0.960
58.33	1.047	51.000	0.000	1.046	0.216	1.039	1.053	1.455	-2.303	1.041	2.731	-1.053	1.058	1.046
59.03	1.134	51.000	0.000	1.141	0.111	1.141	1.134	1.335	-2.385	1.146	2.628	-1.134	1.178	1.129
59.72	1.222	51.000	0.000	1.219	0.039	1.221	1.217	1.357	-2.480	1.218	2.549	-1.217	1.156	1.224
60.42	1.309	51.000	0.000	1.305	-0.044	1.306	1.305	1.398	-2.574	1.300	2.464	-1.305	1.116	1.318
61.11	1.396	51.000	0.000	1.384	-0.163	1.414	1.392	1.361	-2.634	1.420	2.356	-1.392	1.152	1.377
61.81	1.484	51.000	0.000	1.481	-0.243	1.524	1.480	1.480	-2.738	1.499	2.246	-1.480	1.033	1.481
62.50	1.571	51.000	0.000	1.570	-0.316	1.581	1.570	1.566	-2.826	1.573	2.189	-1.570	0.947	1.570
63.19	1.658	51.000	0.000	1.650	-0.407	1.642	1.656	1.650	-2.896	1.664	2.128	-1.656	0.863	1.640
63.89	1.745	51.000	0.000	1.744	-0.490	1.775	1.739	1.741	-2.994	1.747	1.995	-1.739	0.772	1.738
64.58	1.833	51.000	0.000	1.835	-0.577	1.796	1.839	1.833	-3.094	1.834	1.973	-1.839	0.680	1.837
65.28	1.920	51.000	0.000	1.914	-0.658	-1.205	1.923	1.897	3.113	1.915	-1.308	-1.923	0.616	1.913
65.97	2.007	51.000	0.000	2.001	-0.754	-1.238	1.999	2.003	3.033	2.011	-1.275	-1.999	0.510	1.994
66.67	2.094	51.000	0.000	2.092	-0.835	1.669	2.096	2.074	2.962	2.092	2.101	-2.096	0.439	2.065
67.36	2.182	51.000	0.000	2.171	-0.924	1.599	2.179	2.171	2.863	2.180	2.171	-2.179	0.342	2.163
68.06	2.269	51.000	0.000	2.273	-1.023	1.497	2.273	2.266	2.802	2.280	2.273	-2.273	0.247	2.224
68.75	2.356	51.000	0.000	2.365	-1.103	1.387	2.379	2.357	2.662	2.359	2.383	-2.379	0.156	2.365
69.44	2.443	51.000	0.000	2.447	-1.191	1.321	2.448	2.444	2.624	2.447	2.449	-2.448	0.070	2.403
70.14	2.531	51.000	0.000	2.535	-1.261	1.219	2.538	2.533	-0.740	2.518	2.551	-2.538	-0.020	-0.516
70.83	2.618	51.000	0.000	2.602	-1.360	1.167	2.602	2.618	2.573	2.616	2.603	-2.602	-0.105	2.454
71.53	2.705	51.000	0.000	2.712	-1.456	1.073	2.719	2.699	2.712	2.713	2.697	-2.719	-0.185	2.314
72.22	2.793	51.000	0.000	2.789	-1.539	0.987	2.791	2.789	2.788	2.795	2.782	-2.791	-0.275	2.239
72.92	2.880	51.000	0.000	2.887	-1.636	0.894	2.853	2.887	2.900	2.892	2.876	-2.853	-0.373	2.127
73.61	2.967	51.000	0.000	2.966	-1.693	0.789	3.010	2.961	2.966	2.950	2.981	-3.010	-0.448	2.061
74.31	3.054	51.000	0.000	3.050	-1.783	0.710	3.035	3.061	3.038	3.040	3.060	-3.035	-0.547	1.989
75.00	3.142	51.000	0.000	-3.141	-1.882	0.626	3.069	-3.138	3.141	3.139	-3.140	-3.069	-0.632	1.885
75.69	-3.054	51.000	0.000	-3.058	-1.959	0.544	2.989	-3.059	-3.051	-3.067	-3.058	-2.989	-0.711	1.794
76.39	-2.967	51.000	0.000	-2.969	-2.057	0.441	3.044	-2.961	-2.973	-2.969	-2.955	-3.044	-0.809	1.717
77.08	-2.880	51.000	0.000	-2.879	-2.152	0.375	2.866	-2.879	-2.885	-2.875	-2.889	-2.866	-0.890	1.628
