percent	ang_W	r	phase	choose_angle_GEOMETRIC	choose_angle_MSC_ULA	choose_angle_MSC_UCA	delta_1_x_5	delta_2_x_1	delta_3_x_2	delta_4_x_3	delta_5_x_4	delta_5_x_1	delta_1_x_2	delta_2_x_3	delta_3_x_4	delta_4_x_5
0.00	0.000	51.000	0.000	0.032	3.098	-0.003	-0.005	0.047	3.008	2.498	-1.288	1.262	-2.560	-3.008	0.015	0.032
0.69	0.087	51.000	0.000	0.101	0.082	0.086	0.125	0.078	2.925	2.482	-1.395	1.132	-2.591	-2.925	0.031	0.139
1.39	0.175	51.000	0.000	0.185	0.173	0.180	0.210	0.185	0.119	2.362	-1.482	1.047	-2.698	-0.119	0.151	0.226
2.08	0.262	51.000	0.000	0.313	0.264	0.264	0.417	0.241	0.398	2.218	-1.569	0.839	-2.754	-0.398	0.295	0.313
2.78	0.349	51.000	0.000	0.360	0.354	0.347	0.370	0.359	0.360	2.161	-1.626	0.887	-2.872	-0.360	0.352	0.369
3.47	0.436	51.000	0.000	0.406	0.443	0.435	0.339	0.458	0.398	2.064	-1.663	0.917	-2.972	-0.398	0.449	0.406
4.17	0.524	51.000	0.000	0.544	0.539	0.524	0.394	0.549	0.544	1.935	-1.755	0.863	-3.062	-0.544	0.578	0.499
4.86	0.611	51.000	0.000	0.588	0.627	0.613	0.487	0.589	0.587	1.947	-1.851	0.770	-3.103	-0.587	0.566	0.594
5.56	0.698	51.000	0.000	0.693	0.716	0.698	0.396	0.722	0.658	1.857	-1.950	0.861	3.048	-0.658	0.656	0.693
6.25	0.785	51.000	0.000	0.824	0.798	0.782	0.432	0.748	0.840	1.668	-2.014	0.824	3.022	-0.840	0.846	0.758
6.94	0.873	51.000	0.000	0.867	0.888	0.871	0.510	0.826	0.911	1.589	-2.123	0.747	2.944	-0.911	0.924	0.867
7.64	0.960	51.000	0.000	0.952	0.972	0.962	0.356	0.955	0.952	1.493	-2.208	0.901	2.815	-0.952	1.021	0.951
8.33	1.047	51.000	0.000	1.005	1.065	1.049	0.302	1.005	1.068	1.541	-2.342	0.955	2.765	-1.068	0.973	1.086
9.03	1.134	51.000	0.000	1.165	1.155	1.129	0.086	1.160	1.129	1.301	-2.379	1.170	2.610	-1.129	1.212	1.122
9.72	1.222	51.000	0.000	1.211	1.237	1.220	0.062	1.189	1.243	-2.015	-2.484	1.195	2.581	-1.243	-1.755	1.227
10.42	1.309	51.000	0.000	1.301	1.330	1.307	-0.022	1.260	1.335	-1.951	-2.579	1.279	2.510	-1.335	-1.819	1.322
11.11	1.396	51.000	0.000	1.401	1.415	1.393	-0.145	1.408	1.394	1.428	-2.658	1.402	2.362	-1.394	1.086	1.401
11.81	1.484	51.000	0.000	1.479	1.499	1.484	-0.274	1.595	1.475	1.479	-2.731	1.531	2.175	-1.475	1.034	1.474
12.50	1.571	51.000	0.000	1.577	1.588	1.571	-0.330	1.550	1.580	1.577	-2.817	1.586	2.220	-1.580	0.936	1.560
13.19	1.658	51.000	0.000	1.672	1.676	1.662	-0.443	1.832	1.645	1.672	-2.889	1.699	1.938	-1.645	0.841	1.633
13.89	1.745	51.000	0.000	1.736	1.765	1.744	-0.473	1.690	1.714	1.793	-2.999	1.729	2.080	-1.714	0.720	1.742
