percent	ang_W	r	phase	choose_angle	choose_angle_GN	delta_1_x_7	delta_2_x_1	delta_3_x_2	delta_4_x_3	delta_5_x_4	delta_6_x_5	delta_7_x_6	delta_7_x_1	delta_1_x_2	delta_2_x_3	delta_3_x_4	delta_4_x_5	delta_5_x_6	delta_6_x_7
0.00	0.000	51.000	0.000	-0.005	NaN	0.017	-0.005	-0.007	0.106	1.800	-2.691	-0.915	0.880	2.698	-1.789	-0.106	-0.004	-0.001	0.018
0.69	0.087	51.000	0.000	0.088	NaN	0.105	0.088	0.079	0.054	1.716	-2.784	-0.986	0.793	2.605	-1.875	-0.054	0.079	0.091	0.088
1.39	0.175	51.000	0.000	0.171	NaN	0.176	0.176	0.169	0.145	1.631	-2.864	-1.078	0.721	2.516	-1.965	-0.145	0.164	0.171	0.180
2.08	0.262	51.000	0.000	0.264	NaN	0.321	0.264	0.256	0.266	1.539	-2.952	-1.179	0.576	2.429	-2.051	-0.266	0.256	0.259	0.281
2.78	0.349	51.000	0.000	0.352	-0.119	0.368	0.350	0.347	0.332	1.477	-3.046	-1.258	0.529	2.342	-2.143	-0.332	0.318	0.353	0.361
3.47	0.436	51.000	0.000	0.439	NaN	-2.627	0.440	0.436	0.440	1.367	-3.131	-1.345	-2.759	2.252	-2.231	-0.440	0.428	0.438	0.447
4.17	0.524	51.000	0.000	0.529	0.503	0.350	0.532	0.519	0.515	1.258	3.081	-1.427	0.548	2.161	-2.314	-0.515	0.537	0.509	0.529
4.86	0.611	51.000	0.000	0.609	-2.669	0.268	0.621	0.608	0.591	1.218	2.978	-1.506	0.630	2.072	-2.403	-0.591	0.577	0.612	0.609
5.56	0.698	51.000	0.000	0.693	NaN	0.185	0.711	0.693	0.687	1.116	2.906	-1.604	0.712	1.982	-2.488	-0.687	0.679	0.685	0.706
6.25	0.785	51.000	0.000	0.791	NaN	0.106	0.804	0.784	0.775	0.943	2.817	-1.688	0.791	1.889	-2.580	-0.775	0.852	0.773	0.790
6.94	0.873	51.000	0.000	0.879	0.783	0.010	0.878	0.880	0.862	0.980	2.730	-1.779	0.888	1.815	-2.675	-0.862	0.815	0.860	0.881
7.64	0.960	51.000	0.000	0.959	NaN	-0.071	0.960	0.962	0.952	0.983	2.637	-1.856	0.968	1.732	-2.757	-0.952	0.812	0.954	0.958
8.33	1.047	51.000	0.000	1.052	NaN	-0.162	1.052	1.057	1.037	1.054	2.544	-1.942	1.059	1.641	-2.852	-1.037	0.742	1.046	1.044
9.03	1.134	51.000	0.000	1.133	NaN	-0.239	1.138	1.140	1.126	1.133	2.460	-2.030	1.137	1.554	-2.935	-1.126	0.662	1.131	1.133
9.72	1.222	51.000	0.000	1.218	1.202	-0.323	1.217	1.228	1.218	1.207	2.377	-2.122	1.220	1.476	-3.023	-1.218	0.588	1.213	1.224
10.42	1.309	51.000	0.000	1.309	NaN	-0.415	-1.757	1.315	1.304	1.305	2.293	-2.210	1.312	-1.834	-3.110	-1.304	0.490	1.297	1.313
11.11	1.396	51.000	0.000	1.396	-2.617	-0.502	1.287	1.405	1.393	1.391	2.219	-2.301	1.400	1.406	3.083	-1.393	0.404	1.371	1.404
11.81	1.484	51.000	0.000	1.485	NaN	-0.595	1.179	1.497	1.475	1.478	2.105	-2.365	1.492	1.514	2.991	-1.475	0.318	1.485	1.468
12.50	1.571	51.000	0.000	1.572	2.999	-0.681	1.121	1.577	1.574	1.551	2.054	-2.464	1.578	1.572	2.911	-1.574	0.244	1.536	1.567
13.19	1.658	51.000	0.000	1.656	NaN	-0.765	1.034	1.666	1.656	1.648	1.962	-2.550	1.662	1.659	2.822	-1.656	0.147	1.628	1.653
13.89	1.745	51.000	0.000	1.748	1.444	-0.852	0.935	1.746	1.749	1.735	1.883	-2.631	1.749	1.758	2.742	-1.749	0.060	1.707	1.733
14.58	1.833	51.000	0.000	1.837	-0.817	-0.940	0.853	1.849	1.835	1.837	-1.469	-2.723	1.838	1.840	2.639	-1.835	-0.041	-1.223	1.826
15.28	1.920	51.000	0.000	1.922	NaN	-1.024	0.758	1.940	1.918	1.916	1.955	-2.812	1.922	1.935	2.548	-1.918	-0.121	1.635	1.914
15.97	2.007	51.000	0.000	2.017	0.539	-1.111	0.669	2.035	2.017	1.997	2.026	-2.901	2.009	2.023	2.453	-2.017	-0.201	1.564	2.003
16.67	2.094	51.000	0.000	2.099	NaN	-1.202	0.586	2.199	2.099	2.087	2.078	-2.974	2.099	2.107	2.289	-2.099	-0.292	1.512	2.076
17.36	2.182	51.000	0.000	2.182	NaN	-1.282	0.501	2.177	2.188	2.184	2.143	-3.053	2.180	2.192	2.311	-2.188	-0.389	1.447	2.156
18.06	2.269	51.000	0.000	2.268	NaN	-1.375	0.425	2.183	2.273	2.269	2.261	3.128	2.273	2.267	2.305	-2.273	-0.473	1.329	2.258
18.75	2.356	51.000	0.000	2.356	3.020	-1.454	0.327	2.114	2.363	2.356	2.355	3.035	2.351	2.366	2.374	-2.363	-0.561	1.236	2.351
19.44	2.443	51.000	0.000	2.444	NaN	-1.547	0.241	2.031	2.470	2.435	2.431	2.980	2.444	2.451	2.457	-2.470	-0.639	1.159	2.405
20.14	2.531	51.000	0.000	2.533	2.615	-1.631	0.162	1.940	2.531	2.537	2.533	2.820	2.528	2.531	2.548	-2.531	-0.742	1.057	2.566
20.83	2.618	51.000	0.000	2.618	-0.237	-1.721	0.075	1.850	2.634	2.615	2.621	2.774	2.618	2.618	2.638	-2.634	-0.820	0.970	2.612
21.53	2.705	51.000	0.000	2.707	NaN	-1.803	-0.016	1.777	2.716	2.706	2.695	2.796	2.700	2.709	2.711	-2.716	-0.911	0.896	2.590
22.22	2.793	51.000	0.000	2.792	NaN	-1.893	-0.089	1.677	2.794	2.797	2.782	2.810	2.791	2.782	2.811	-2.794	-1.002	0.808	2.576
22.92	2.880	51.000	0.000	2.878	NaN	-1.965	-0.185	1.604	2.875	2.878	2.878	2.835	2.863	2.878	2.884	-2.875	-1.083	0.712	2.551
23.61	2.967	51.000	0.000	2.971	NaN	-2.062	-0.282	1.517	3.010	2.963	2.967	2.980	2.959	2.975	2.971	-3.010	-1.167	0.623	2.406
24.31	3.054	51.000	0.000	3.058	NaN	-2.155	-0.360	1.419	0.021	3.063	3.046	3.070	3.053	3.053	3.069	-0.021	-1.268	0.545	2.315
25.00	3.142	51.000	0.000	3.136	0.147	-2.221	-0.453	1.348	3.016	-3.124	3.133	3.130	3.119	-3.137	3.140	-3.016	-1.364	0.457	2.256
25.69	-3.054	51.000	0.000	-3.051	0.559	-2.333	-0.529	1.248	0.073	-3.050	-3.065	-3.046	-3.053	-3.061	-3.043	-0.073	-1.438	0.372	2.148
26.39	-2.967	51.000	0.000	-2.969	NaN	-2.417	-0.614	1.165	2.982	-2.968	-2.973	-2.965	-2.969	-2.976	-2.960	-2.982	-1.520	0.280	2.067
27.08	-2.880	51.000	0.000	-2.880	NaN	-2.487	-0.709	1.077	2.877	-2.869	-2.880	-2.885	-2.899	-2.881	-2.872	-2.877	-1.619	0.187	1.988
27.78	-2.793	51.000	0.000	-2.794	NaN	-2.533	-0.803	0.999	2.794	-2.795	-2.793	-2.797	-2.852	-2.788	-2.794	-2.794	-1.693	0.101	1.900
28.47	-2.705	51.000	0.000	-2.701	0.965	0.329	-0.877	0.909	2.678	-2.690	-2.701	-2.701	0.568	-2.714	-2.704	-2.678	-1.798	0.009	1.803
29.17	-2.618	51.000	0.000	-2.611	-1.403	-2.598	-0.966	0.816	2.610	-2.606	-2.620	-2.616	-2.788	-2.624	-2.611	-2.610	-1.882	-0.073	1.719
29.86	-2.531	51.000	0.000	-2.535	NaN	-2.601	-1.044	0.737	2.522	-2.535	-2.524	-2.535	-2.785	-2.547	-2.533	-2.522	-1.953	-0.169	1.637
30.56	-2.443	51.000	0.000	-2.441	-2.225	-2.441	-1.137	0.640	2.441	-2.437	-2.440	-2.445	-2.944	-2.453	-2.436	-2.441	-2.051	-0.253	1.548
31.25	-2.356	51.000	0.000	-2.356	NaN	-2.367	-1.226	0.563	2.347	-2.321	-2.355	-2.357	-3.018	-2.364	-2.358	-2.347	-2.167	-0.338	1.460
31.94	-2.269	51.000	0.000	-2.272	NaN	-2.267	-1.315	0.470	2.272	-2.330	-2.255	-2.280	-3.119	-2.275	-2.266	-2.272	-2.158	-0.438	1.382
32.64	-2.182	51.000	0.000	-2.183	NaN	-2.207	-1.395	0.390	2.181	-2.321	-2.179	-2.179	3.105	-2.196	-2.185	-2.181	-2.167	-0.514	1.281
33.33	-2.094	51.000	0.000	-2.092	NaN	-2.092	-1.491	0.301	2.088	-2.402	-2.084	-2.099	2.990	-2.099	-2.096	-2.088	-2.086	-0.608	1.202
34.03	-2.007	51.000	0.000	-2.004	NaN	-2.013	-1.570	0.214	2.000	-2.500	-1.996	-2.004	2.911	-2.020	-2.009	-2.000	-1.988	-0.696	1.106
34.72	-1.920	51.000	0.000	-1.918	-0.041	-1.930	-1.640	0.123	1.921	-2.590	-1.909	-1.916	2.828	-1.950	-1.918	-1.921	-1.898	-0.784	1.018
35.42	-1.833	51.000	0.000	-1.836	-1.709	-1.842	1.278	0.046	1.825	-2.653	-1.837	-1.821	2.739	1.415	-1.841	-1.825	-1.835	-0.856	0.924
36.11	-1.745	51.000	0.000	-1.745	NaN	-1.755	-1.674	-0.051	1.748	-2.748	-1.734	-1.747	2.653	-1.916	-1.744	-1.748	-1.740	-0.959	0.849
36.81	-1.658	51.000	0.000	-1.660	NaN	-1.663	-1.668	-0.132	1.660	-2.841	-1.658	-1.652	2.560	-1.923	-1.664	-1.660	-1.647	-1.035	0.755
37.50	-1.571	51.000	0.000	-1.573	0.718	-1.572	-1.590	-0.219	1.579	-2.947	-1.486	-1.573	2.470	-2.000	-1.576	-1.579	-1.541	-1.206	0.675
38.19	-1.484	51.000	0.000	-1.485	NaN	-1.496	-1.476	-0.305	1.485	-3.011	-1.491	-1.472	2.394	-2.115	-1.490	-1.485	-1.477	-1.202	0.575
38.89	-1.396	51.000	0.000	-1.399	NaN	-1.395	-1.429	-0.387	1.403	-3.098	-1.479	-1.384	2.292	-2.161	-1.408	-1.403	-1.390	-1.214	0.486
39.58	-1.309	51.000	0.000	-1.318	NaN	-1.307	-1.335	-0.467	1.310	3.099	-1.367	-1.303	2.205	-2.255	-1.328	-1.310	-1.304	-1.325	0.405
40.28	-1.222	51.000	0.000	-1.222	-2.365	-1.226	-1.222	-0.554	1.223	3.008	-1.483	-1.212	2.123	-2.368	-1.241	-1.223	-1.213	-1.210	0.315
40.97	-1.134	51.000	0.000	-1.139	NaN	-1.135	-1.139	-0.637	1.139	2.920	-1.553	-1.133	2.032	-2.451	-1.158	-1.139	-1.124	-1.140	0.236
41.67	-1.047	51.000	0.000	-1.049	-2.597	-1.048	-1.053	-0.695	1.048	2.837	-1.638	-1.049	1.946	-2.537	-1.100	-1.048	-1.041	-1.055	0.152
42.36	-0.960	51.000	0.000	-0.961	NaN	-0.956	-0.971	2.152	0.965	2.761	-1.742	-0.951	1.854	-2.620	2.336	-0.965	-0.965	-0.951	0.053
