percent	ang_W	r	phase	choose_angle_GEOMETRIC	choose_angle_MSC_ULA	choose_angle_MSC_UCA	delta_1_x_7	delta_2_x_1	delta_3_x_2	delta_4_x_3	delta_5_x_4	delta_6_x_5	delta_7_x_6	delta_7_x_1	delta_1_x_2	delta_2_x_3	delta_3_x_4	delta_4_x_5	delta_5_x_6	delta_6_x_7
0.00	0.000	51.000	0.000	0.017	3.136	0.000	0.010	-0.004	-0.003	0.115	1.791	-2.684	-0.922	0.887	2.696	-1.792	-0.115	0.004	-0.009	0.024
0.69	0.087	51.000	0.000	0.092	0.093	0.087	0.099	0.092	0.078	0.110	1.715	-2.782	-0.997	0.798	2.601	-1.873	-0.110	0.081	0.089	0.099
1.39	0.175	51.000	0.000	0.177	0.180	0.176	0.207	0.177	0.168	0.158	1.632	-2.872	-1.079	0.691	2.516	-1.963	-0.158	0.163	0.180	0.182
2.08	0.262	51.000	0.000	0.261	0.271	0.262	0.245	0.266	0.267	0.219	1.545	-2.954	-1.163	0.652	2.427	-2.062	-0.219	0.250	0.261	0.265
2.78	0.349	51.000	0.000	0.352	0.360	0.349	0.342	0.345	0.352	0.356	1.438	-3.037	-1.249	0.556	2.347	-2.147	-0.356	0.357	0.344	0.351
3.47	0.436	51.000	0.000	0.432	0.450	0.436	0.360	0.446	0.431	0.429	1.362	-3.119	-1.342	0.538	2.247	-2.226	-0.429	0.433	0.426	0.445
4.17	0.524	51.000	0.000	0.521	0.538	0.524	0.339	0.540	0.521	0.514	1.279	3.060	-1.418	0.559	2.153	-2.316	-0.514	0.516	0.530	0.520
4.86	0.611	51.000	0.000	0.614	0.628	0.611	0.275	0.616	0.610	0.603	1.217	2.976	-1.511	0.623	2.077	-2.405	-0.603	0.578	0.614	0.614
5.56	0.698	51.000	0.000	0.696	0.717	0.698	0.199	0.696	0.700	0.694	1.107	2.899	-1.603	0.698	1.997	-2.495	-0.694	0.688	0.691	0.705
6.25	0.785	51.000	0.000	0.790	0.806	0.785	0.097	0.792	0.791	0.772	1.028	2.814	-1.687	0.801	1.900	-2.586	-0.772	0.768	0.777	0.790
6.94	0.873	51.000	0.000	0.873	0.895	0.873	0.022	0.873	0.876	0.855	1.045	2.717	-1.768	0.876	1.820	-2.671	-0.855	0.751	0.874	0.871
7.64	0.960	51.000	0.000	0.965	0.984	0.960	-0.076	0.984	0.965	0.949	1.005	2.633	-1.862	0.974	1.709	-2.760	-0.949	0.790	0.957	0.964
8.33	1.047	51.000	0.000	1.052	1.073	1.047	-0.159	1.056	1.052	1.039	1.045	2.562	-1.952	1.056	1.637	-2.847	-1.039	0.750	1.029	1.054
9.03	1.134	51.000	0.000	1.136	1.161	1.134	-0.242	1.130	1.131	1.136	1.140	2.465	-2.033	1.140	1.563	-2.927	-1.136	0.655	1.125	1.136
