percent	ang_W	r	phase	choose_angle	delta_1_x_7	delta_2_x_1	delta_3_x_2	delta_4_x_3	delta_5_x_4	delta_6_x_5	delta_7_x_6	delta_7_x_1	delta_1_x_2	delta_2_x_3	delta_3_x_4	delta_4_x_5	delta_5_x_6	delta_6_x_7
0.00	0.000	51.000	0.000	0.036	0.031	-0.088	0.109	2.868	1.785	-2.733	-0.694	0.867	2.781	-1.905	-2.868	0.010	0.040	-0.203
0.69	0.087	51.000	0.000	0.063	-0.027	0.109	0.045	0.308	1.640	-2.755	-0.900	0.924	2.584	-1.840	-0.308	0.155	0.063	0.002
1.39	0.175	51.000	0.000	0.211	0.372	0.212	0.165	2.959	1.573	-2.902	-1.005	0.526	2.481	-1.960	-2.959	0.222	0.210	0.108
2.08	0.262	51.000	0.000	0.218	0.064	0.295	0.190	0.402	1.594	-2.963	-1.132	0.834	2.398	-1.985	-0.402	0.202	0.270	0.235
2.78	0.349	51.000	0.000	0.346	-2.388	0.278	0.341	0.363	1.443	-3.009	-1.272	-2.998	2.415	-2.136	-0.363	0.352	0.316	0.374
3.47	0.436	51.000	0.000	0.471	-2.533	0.516	0.367	0.520	1.177	-3.080	-1.369	-2.852	2.177	-2.163	-0.520	0.618	0.388	0.471
4.17	0.524	51.000	0.000	0.500	-2.257	0.494	0.579	0.429	-2.327	3.091	-1.464	-3.129	2.199	-2.374	-0.429	-2.161	0.500	0.567
4.86	0.611	51.000	0.000	0.597	0.101	0.666	0.597	0.633	-2.492	3.029	-1.465	0.796	2.027	-2.392	-0.633	-1.996	0.562	0.568
5.56	0.698	51.000	0.000	0.717	-2.491	0.602	0.722	0.679	1.343	2.821	-1.614	-2.894	2.090	-2.517	-0.679	0.452	0.769	0.717
6.25	0.785	51.000	0.000	0.806	0.085	0.861	0.760	0.806	1.093	2.886	-1.788	0.813	1.832	-2.555	-0.806	0.702	0.704	0.891
6.94	0.873	51.000	0.000	0.904	-0.154	1.097	0.855	0.906	-2.452	2.688	-1.724	1.051	1.595	-2.650	-0.906	-2.036	0.902	0.826
7.64	0.960	51.000	0.000	0.945	-0.035	0.913	0.997	0.899	1.067	2.619	-1.842	0.932	1.780	-2.792	-0.899	0.729	0.971	0.945
8.33	1.047	51.000	0.000	1.053	-0.156	-1.663	1.058	1.017	-2.439	2.577	-1.971	1.053	-1.928	-2.853	-1.017	-2.049	1.013	1.074
9.03	1.134	51.000	0.000	1.171	-0.368	1.069	1.171	1.128	1.343	2.357	-1.966	1.266	1.624	-2.966	-1.128	0.453	1.233	1.069
9.72	1.222	51.000	0.000	1.204	-0.294	-1.514	1.232	1.217	1.083	2.449	-2.204	1.192	-2.077	-3.028	-1.217	0.712	1.142	1.306
10.42	1.309	51.000	0.000	1.347	-0.549	-1.435	1.329	1.285	1.374	2.226	-2.157	1.447	-2.156	-3.124	-1.285	0.421	1.364	1.260
11.11	1.396	51.000	0.000	1.392	-0.407	0.914	1.430	1.357	1.448	2.275	-2.323	1.304	1.778	3.058	-1.357	0.347	1.315	1.426
11.81	1.484	51.000	0.000	1.432	-0.553	-1.543	1.402	1.495	1.414	2.330	-2.465	1.450	-2.048	3.086	-1.495	0.382	1.260	1.567
12.50	1.571	51.000	0.000	1.585	-0.638	0.901	1.590	1.581	1.590	2.159	-2.506	1.536	1.792	2.898	-1.581	0.205	1.431	1.608
13.19	1.658	51.000	0.000	1.613	-0.803	0.913	1.770	1.605	1.638	2.158	-2.510	1.701	1.779	2.718	-1.605	0.157	1.432	1.613
13.89	1.745	51.000	0.000	1.762	-0.881	0.950	1.800	1.706	1.830	-1.544	-2.644	1.778	1.742	2.688	-1.706	-0.035	-1.149	1.746
14.58	1.833	51.000	0.000	1.794	-0.905	0.683	-0.631	1.754	1.786	2.222	-2.767	1.803	2.010	-1.164	-1.754	0.010	1.368	1.869
15.28	1.920	51.000	0.000	1.930	-1.058	0.763	2.020	1.852	1.902	1.979	-2.702	1.956	1.930	2.468	-1.852	-0.107	1.612	1.805
15.97	2.007	51.000	0.000	1.994	-1.097	0.780	1.733	2.021	1.979	2.176	-2.911	1.994	1.913	2.755	-2.021	-0.183	1.414	2.013
16.67	2.094	51.000	0.000	2.094	-1.249	0.721	1.853	2.092	2.096	2.169	-2.967	2.146	1.972	2.635	-2.092	-0.301	1.422	2.069
17.36	2.182	51.000	0.000	2.171	-1.225	0.522	1.915	2.393	2.020	2.256	3.081	2.122	2.171	2.573	-2.393	-0.225	1.334	2.305
18.06	2.269	51.000	0.000	2.251	-1.306	0.339	-0.472	2.243	2.253	2.251	3.009	2.204	2.354	-1.323	-2.243	-0.458	1.340	2.377
