percent	ang_W	r	phase	choose_angle_GEOMETRIC	choose_angle_MSC_ULA	choose_angle_MSC_UCA	delta_1_x_7	delta_2_x_1	delta_3_x_2	delta_4_x_3	delta_5_x_4	delta_6_x_5	delta_7_x_6	delta_7_x_1	delta_1_x_2	delta_2_x_3	delta_3_x_4	delta_4_x_5	delta_5_x_6	delta_6_x_7
0.00	0.000	51.000	0.000	0.016	0.030	0.002	-0.066	0.016	-0.032	0.294	1.777	-2.700	-0.852	0.963	2.677	-1.763	-0.294	0.019	0.007	-0.045
0.69	0.087	51.000	0.000	0.090	0.091	0.089	0.122	0.091	0.089	2.963	1.742	-2.777	-1.030	0.776	2.602	-1.884	-2.963	0.053	0.085	0.133
1.39	0.175	51.000	0.000	0.187	0.182	0.169	0.152	0.189	0.193	0.125	1.608	-2.852	-1.111	0.745	2.503	-1.988	-0.125	0.187	0.159	0.213
2.08	0.262	51.000	0.000	0.245	0.267	0.260	0.213	0.265	0.239	0.324	1.566	-2.975	-1.143	0.685	2.428	-2.034	-0.324	0.229	0.282	0.245
2.78	0.349	51.000	0.000	0.346	0.356	0.347	0.369	0.360	0.309	0.340	1.466	-3.020	-1.249	0.528	2.333	-2.104	-0.340	0.329	0.327	0.352
3.47	0.436	51.000	0.000	0.438	0.450	0.438	0.364	0.473	0.418	0.350	1.515	3.133	-1.378	0.534	2.219	-2.214	-0.350	0.280	0.457	0.480
4.17	0.524	51.000	0.000	0.525	0.538	0.520	0.196	0.525	0.537	0.499	1.243	3.067	-1.376	0.701	2.168	-2.332	-0.499	0.553	0.523	0.478
4.86	0.611	51.000	0.000	0.604	0.628	0.618	-2.663	0.600	0.573	0.675	1.199	2.965	-1.505	-2.722	2.093	-2.368	-0.675	0.596	0.625	0.608
5.56	0.698	51.000	0.000	0.712	0.717	0.696	0.154	0.753	0.712	0.646	1.205	2.855	-1.591	0.743	1.939	-2.508	-0.646	0.590	0.735	0.694
6.25	0.785	51.000	0.000	0.784	0.806	0.789	0.068	0.784	0.771	0.793	1.126	2.781	-1.656	0.829	1.909	-2.566	-0.793	0.669	0.809	0.758
6.94	0.873	51.000	0.000	0.865	0.897	0.871	0.054	0.866	0.845	0.874	1.073	2.725	-1.774	0.843	1.827	-2.640	-0.874	0.722	0.865	0.877
7.64	0.960	51.000	0.000	0.965	0.984	0.958	-0.055	0.923	0.985	0.951	1.049	2.616	-1.863	0.952	1.769	-2.780	-0.951	0.746	0.974	0.965
8.33	1.047	51.000	0.000	1.051	1.075	1.049	-0.105	0.952	1.060	1.051	1.093	2.482	-1.919	1.002	1.741	-2.855	-1.051	0.702	1.109	1.021
9.03	1.134	51.000	0.000	1.128	1.161	1.133	-0.231	1.025	1.130	1.143	1.128	2.440	-1.999	1.128	1.668	-2.925	-1.143	0.667	1.150	1.101
9.72	1.222	51.000	0.000	1.225	1.251	1.225	-0.326	1.168	1.266	1.225	-2.324	2.445	-2.139	1.224	1.525	-3.061	-1.225	-2.164	1.145	1.242
10.42	1.309	51.000	0.000	1.281	1.339	1.309	-0.373	-1.774	1.316	1.291	1.248	2.347	-2.235	1.271	-1.816	-3.112	-1.291	0.547	1.244	1.338
11.11	1.396	51.000	0.000	1.379	1.424	1.395	-0.476	1.209	1.425	1.380	1.379	2.270	-2.335	1.373	1.484	3.063	-1.380	0.417	1.321	1.437
11.81	1.484	51.000	0.000	1.491	1.513	1.482	-0.593	1.119	1.479	1.464	1.539	2.072	-2.356	1.491	1.574	3.009	-1.464	0.256	1.518	1.459
12.50	1.571	51.000	0.000	1.593	1.600	1.571	-0.685	1.003	1.623	1.556	1.602	-1.424	-2.429	1.583	1.690	2.865	-1.556	0.193	-1.269	1.531
13.19	1.658	51.000	0.000	1.634	1.686	1.656	-0.767	1.160	1.634	1.656	1.634	1.956	-2.551	1.665	1.533	2.854	-1.656	0.161	1.634	1.654
13.89	1.745	51.000	0.000	1.733	1.775	1.744	-0.877	0.953	1.816	1.727	1.719	-1.467	-2.594	1.774	1.740	2.672	-1.727	0.076	-1.226	1.697
14.58	1.833	51.000	0.000	1.852	1.862	1.829	-0.947	0.814	1.860	1.859	1.844	-1.499	-2.727	1.845	1.879	2.628	-1.859	-0.048	-1.194	1.830
15.28	1.920	51.000	0.000	1.936	1.950	1.916	-1.055	0.755	1.936	1.928	1.902	2.027	-2.781	1.952	1.938	2.552	-1.928	-0.107	1.564	1.883
15.97	2.007	51.000	0.000	2.001	2.035	2.009	-1.122	0.711	1.891	2.029	2.021	-1.422	-2.867	2.020	1.981	2.597	-2.029	-0.226	-1.271	1.969
16.67	2.094	51.000	0.000	2.081	2.119	2.093	-1.242	0.636	2.013	2.110	2.081	2.157	-2.967	2.140	2.057	2.475	-2.110	-0.286	1.433	2.070
17.36	2.182	51.000	0.000	2.169	2.206	2.182	-1.325	0.538	2.016	2.220	2.169	2.174	-3.024	2.223	2.155	2.472	-2.220	-0.374	1.417	2.126
18.06	2.269	51.000	0.000	2.297	2.292	2.269	-1.364	0.402	-0.787	2.303	2.243	2.313	3.074	2.262	2.291	-1.008	-2.303	-0.447	1.277	2.312
18.75	2.356	51.000	0.000	2.355	2.374	2.358	-1.487	0.348	2.045	2.384	2.355	2.339	3.089	2.384	2.345	2.443	-2.384	-0.560	1.252	2.296
19.44	2.443	51.000	0.000	2.467	2.463	2.442	-1.539	0.267	1.925	2.467	2.412	2.505	2.882	2.437	2.426	2.563	-2.467	-0.617	1.085	2.504
20.14	2.531	51.000	0.000	2.525	2.546	2.529	-1.611	0.168	1.940	2.509	2.595	2.421	2.837	2.509	2.525	2.548	-2.509	-0.800	1.169	2.549
20.83	2.618	51.000	0.000	2.619	2.635	2.616	-1.784	0.133	1.825	2.619	2.632	2.586	2.919	2.681	2.560	2.663	-2.619	-0.837	1.005	2.467
21.53	2.705	51.000	0.000	2.716	2.719	2.704	-1.788	-0.025	1.767	2.713	2.727	2.679	2.721	2.685	2.718	2.721	-2.713	-0.932	0.912	2.665
22.22	2.793	51.000	0.000	2.795	2.801	2.793	-1.870	-0.102	1.661	2.872	2.765	2.777	2.906	2.768	2.795	2.827	-2.872	-0.970	0.814	2.480
22.92	2.880	51.000	0.000	2.896	2.887	2.882	-2.000	-0.157	1.576	2.925	2.887	2.894	-0.599	2.898	2.850	2.912	-2.925	-1.092	0.697	-0.299
23.61	2.967	51.000	0.000	2.968	2.969	2.965	-2.096	-0.251	1.490	0.126	2.934	2.999	2.921	2.993	2.943	2.998	-0.126	-1.139	0.591	2.465
24.31	3.054	51.000	0.000	3.045	3.063	3.054	-2.147	-0.331	1.374	0.181	3.087	3.045	2.961	3.045	3.023	3.114	-0.181	-1.291	0.546	2.424
25.00	3.142	51.000	0.000	3.139	0.051	3.140	-2.203	-0.453	1.295	0.334	3.131	3.105	-3.107	3.100	-3.137	-3.090	-0.334	-1.336	0.486	2.209
25.69	-3.054	51.000	0.000	-3.042	3.063	-3.051	-2.314	-0.556	1.256	2.946	-3.018	-3.055	-3.042	-3.071	-3.034	-3.051	-2.946	-1.470	0.363	2.145
26.39	-2.967	51.000	0.000	-2.981	2.972	-2.967	-2.484	-0.646	1.189	3.072	-2.981	-2.985	-2.907	-2.902	-2.945	-2.984	-3.072	-1.507	0.292	2.010
27.08	-2.880	51.000	0.000	-2.880	2.889	-2.880	0.280	-0.659	1.082	2.792	-2.883	-2.888	-2.844	0.618	-2.931	-2.877	-2.792	-1.605	0.195	1.947
27.78	-2.793	51.000	0.000	-2.807	2.803	-2.793	-2.482	-0.823	1.012	2.825	-2.797	-2.810	-2.793	-2.903	-2.767	-2.807	-2.825	-1.691	0.117	1.895
28.47	-2.705	51.000	0.000	-2.698	2.717	-2.705	-2.648	-0.933	0.912	2.760	-2.689	-2.728	-2.669	-2.738	-2.657	-2.707	-2.760	-1.799	0.036	1.771
29.17	-2.618	51.000	0.000	-2.651	2.634	-2.620	0.299	-0.924	0.791	2.641	-2.661	-2.566	-2.661	0.598	-2.667	-2.587	-2.641	-1.827	-0.127	1.764
29.86	-2.531	51.000	0.000	-2.524	2.546	-2.531	0.425	-1.070	0.753	2.514	-2.476	-2.528	-2.536	0.473	-2.520	-2.549	-2.514	-2.012	-0.165	1.638
30.56	-2.443	51.000	0.000	-2.455	2.461	-2.442	-2.547	-1.136	0.664	2.411	-2.531	-2.447	-2.396	-2.839	-2.455	-2.459	-2.411	-1.957	-0.246	1.499
31.25	-2.356	51.000	0.000	-2.349	2.375	-2.354	-2.271	-1.247	0.554	2.349	-2.550	-2.310	-2.369	-3.115	-2.343	-2.350	-2.349	-1.938	-0.383	1.471
31.94	-2.269	51.000	0.000	-2.259	2.292	-2.267	-2.232	-1.316	0.458	2.259	-2.346	-2.259	-2.268	3.130	-2.274	-2.253	-2.259	-2.142	-0.434	1.370
32.64	-2.182	51.000	0.000	-2.189	2.206	-2.187	-2.206	-1.346	0.370	2.177	-2.340	-2.201	-2.158	3.103	-2.244	-2.165	-2.177	-2.148	-0.492	1.261
33.33	-2.094	51.000	0.000	-2.093	2.119	-2.093	-2.097	-1.459	0.279	2.082	1.140	-2.134	-2.088	2.995	-2.132	-2.074	-2.082	0.656	-0.559	1.191
34.03	-2.007	51.000	0.000	-1.995	2.035	-2.005	-2.050	-1.515	0.222	1.981	-2.496	-1.981	-1.995	2.948	-2.075	-2.017	-1.981	-1.992	-0.712	1.098
34.72	-1.920	51.000	0.000	-1.912	1.946	-1.920	-1.918	-1.562	0.082	1.946	-2.649	-1.897	-1.912	2.815	-2.028	-1.877	-1.946	-1.839	-0.796	1.014
35.42	-1.833	51.000	0.000	-1.834	1.861	-1.836	-1.855	-1.568	0.021	1.851	-2.686	-1.792	-1.851	2.753	-2.022	-1.817	-1.851	-1.802	-0.901	0.954
36.11	-1.745	51.000	0.000	-1.749	1.775	-1.744	-1.777	-1.625	-0.045	1.748	-2.735	-1.729	-1.749	2.675	-1.965	-1.750	-1.748	-1.753	-0.963	0.852
36.81	-1.658	51.000	0.000	-1.649	1.688	-1.660	-1.664	-1.542	-0.147	1.611	-2.758	-1.643	-1.665	2.562	-2.049	-1.649	-1.611	-1.730	-1.050	0.767
37.50	-1.571	51.000	0.000	-1.562	1.602	-1.574	-1.542	-1.639	-0.162	1.562	-2.972	-1.514	-1.593	2.439	-1.951	-1.633	-1.562	-1.516	-1.179	0.695
38.19	-1.484	51.000	0.000	-1.487	1.513	-1.482	-1.496	-1.459	-0.300	1.487	-3.001	-1.581	-1.472	2.394	-2.132	-1.495	-1.487	-1.486	-1.112	0.575
38.89	-1.396	51.000	0.000	-1.377	1.424	-1.396	-1.373	-1.381	-0.464	1.426	-3.129	2.014	-1.427	2.271	-2.209	-1.331	-1.426	-1.359	1.576	0.529
39.58	-1.309	51.000	0.000	-1.319	1.335	-1.312	-1.268	-1.386	-0.485	1.308	3.122	-1.446	-1.331	2.166	-2.204	-1.310	-1.308	-1.327	-1.246	0.434
40.28	-1.222	51.000	0.000	-1.218	1.250	-1.222	-1.199	-1.243	-0.591	1.232	2.982	2.014	-1.246	2.097	-2.347	-1.204	-1.232	-1.187	1.576	0.348
40.97	-1.134	51.000	0.000	-1.128	1.162	-1.133	-1.128	-1.231	-0.550	1.144	2.904	-1.610	-1.061	2.026	-2.359	-1.245	-1.144	-1.109	-1.083	0.164
41.67	-1.047	51.000	0.000	-1.058	1.073	-1.047	-1.076	-1.058	-0.742	1.072	2.814	-1.632	-0.980	1.973	-2.532	-1.053	-1.072	-1.019	-1.061	0.082
42.36	-0.960	51.000	0.000	-0.957	0.984	-0.963	-0.956	-0.947	-0.835	0.958	2.772	-1.767	-0.988	1.854	-2.643	-0.961	-0.958	-0.977	-0.926	0.090
43.06	-0.873	51.000	0.000	-0.888	0.897	-0.871	-0.865	-0.871	2.008	0.905	2.673	-1.794	-0.925	1.762	-2.719	2.480	-0.905	-0.878	-0.899	0.027
43.75	-0.785	51.000	0.000	-0.772	0.806	-0.785	-0.769	-0.752	2.198	0.775	2.574	-1.933	-0.811	1.666	-2.838	2.290	-0.775	-0.779	-0.760	-0.087
