percent	ang_W	r	phase	choose_angle	choose_angle_GN	delta_1_x_7	delta_2_x_1	delta_3_x_2	delta_4_x_3	delta_5_x_4	delta_6_x_5	delta_7_x_6	delta_7_x_1	delta_1_x_2	delta_2_x_3	delta_3_x_4	delta_4_x_5	delta_5_x_6	delta_6_x_7
0.00	0.000	51.000	0.000	0.012	NaN	0.021	0.001	-0.008	3.081	1.809	-2.696	-0.919	0.877	2.692	-1.787	-3.081	-0.014	0.003	0.021
0.69	0.087	51.000	0.000	0.086	NaN	0.086	0.090	0.084	0.120	1.710	-2.786	-0.980	0.812	2.603	-1.879	-0.120	0.086	0.093	0.083
1.39	0.175	51.000	0.000	0.176	NaN	0.165	0.177	0.170	0.194	1.620	-2.869	-1.065	0.733	2.516	-1.965	-0.194	0.176	0.176	0.168
2.08	0.262	51.000	0.000	0.257	NaN	0.257	0.265	0.258	0.232	1.551	-2.950	-1.168	0.641	2.428	-2.053	-0.232	0.244	0.257	0.271
2.78	0.349	51.000	0.000	0.351	NaN	-2.650	0.348	0.354	0.323	1.441	-3.031	-1.260	-2.736	2.345	-2.149	-0.323	0.354	0.338	0.363
3.47	0.436	51.000	0.000	0.435	NaN	-2.595	0.435	0.436	0.423	1.359	-3.121	-1.341	-2.791	2.258	-2.231	-0.423	0.436	0.428	0.444
4.17	0.524	51.000	0.000	0.519	NaN	-2.682	0.522	0.522	0.497	1.290	3.074	-1.422	-2.703	2.171	-2.317	-0.497	0.506	0.517	0.524
4.86	0.611	51.000	0.000	0.614	NaN	0.206	0.646	0.606	0.589	1.173	2.997	-1.512	0.692	2.046	-2.401	-0.589	0.622	0.594	0.614
5.56	0.698	51.000	0.000	0.694	NaN	0.203	0.725	0.692	0.690	1.072	2.906	-1.610	0.694	1.968	-2.487	-0.690	0.723	0.685	0.713
6.25	0.785	51.000	0.000	0.788	NaN	0.104	0.799	0.784	0.784	1.007	2.818	-1.696	0.793	1.894	-2.579	-0.784	0.788	0.773	0.798
6.94	0.873	51.000	0.000	0.876	NaN	0.017	0.889	0.875	0.858	0.961	2.725	-1.774	0.881	1.804	-2.671	-0.858	0.834	0.865	0.876
7.64	0.960	51.000	0.000	0.959	NaN	-0.071	0.957	0.967	0.957	-2.274	2.630	-1.854	0.968	1.735	-2.762	-0.957	-2.214	0.960	0.957
8.33	1.047	51.000	0.000	1.042	NaN	-0.155	1.054	1.048	1.043	0.949	2.553	-1.938	1.053	1.638	-2.843	-1.043	0.846	1.037	1.041
9.03	1.134	51.000	0.000	1.141	NaN	-0.246	1.158	1.141	1.138	1.081	2.477	-2.043	1.143	1.535	-2.937	-1.138	0.715	1.113	1.145
9.72	1.222	51.000	0.000	1.218	NaN	-0.323	1.199	1.230	1.215	1.214	2.372	-2.117	1.221	1.494	-3.025	-1.215	0.582	1.218	1.219
10.42	1.309	51.000	0.000	1.303	NaN	-0.407	1.250	1.302	1.315	1.291	2.302	-2.208	1.304	1.443	-3.097	-1.315	0.504	1.288	1.311
11.11	1.396	51.000	0.000	1.395	NaN	-0.507	-1.707	1.393	1.398	1.393	2.174	-2.282	1.405	-1.884	3.095	-1.398	0.402	1.416	1.384
11.81	1.484	51.000	0.000	1.483	0.568	-0.601	-1.717	1.472	1.488	1.483	2.114	-2.379	1.498	-1.874	3.016	-1.488	0.312	1.476	1.482
12.50	1.571	51.000	0.000	1.571	-0.006	-0.684	1.207	1.560	1.577	1.566	2.011	-2.469	1.581	1.486	2.928	-1.577	0.229	1.580	1.571
13.19	1.658	51.000	0.000	1.653	NaN	-0.770	1.062	1.653	1.663	1.645	1.988	-2.558	1.667	1.630	2.835	-1.663	0.150	1.603	1.661
13.89	1.745	51.000	0.000	1.742	NaN	-0.869	0.951	1.765	1.743	1.730	1.864	-2.615	1.766	1.742	2.723	-1.743	0.065	1.727	1.717
14.58	1.833	51.000	0.000	1.832	NaN	-0.929	0.844	1.844	1.834	1.829	-1.400	-2.728	1.827	1.849	2.644	-1.834	-0.034	-1.293	1.831
15.28	1.920	51.000	0.000	1.918	NaN	-1.021	0.769	1.913	1.927	1.901	1.982	-2.815	1.918	1.924	2.575	-1.927	-0.106	1.609	1.917
15.97	2.007	51.000	0.000	2.007	NaN	-1.114	0.682	2.007	2.023	1.999	1.978	-2.896	2.011	2.011	2.481	-2.023	-0.204	1.613	1.998
16.67	2.094	51.000	0.000	2.092	NaN	-1.194	0.586	2.061	2.110	2.092	2.092	-2.992	2.091	2.106	2.427	-2.110	-0.297	1.498	2.094
