percent	ang_W	r	phase	choose_angle	delta_1_x_3	delta_2_x_1	delta_3_x_2	delta_3_x_1	delta_1_x_2	delta_2_x_3
0.00	0.000	51.000	0.000	0.029	0.042	2.932	-2.110	2.053	-2.932	0.016
0.69	0.087	51.000	0.000	0.076	0.014	0.333	-2.170	2.080	-0.333	0.076
1.39	0.175	51.000	0.000	0.162	0.189	2.891	-2.231	1.906	-2.891	0.136
2.08	0.262	51.000	0.000	0.223	0.254	0.065	-2.317	1.841	-0.065	0.223
2.78	0.349	51.000	0.000	0.260	0.290	0.157	-2.354	1.804	-0.157	0.260
3.47	0.436	51.000	0.000	0.388	0.201	0.647	-2.483	1.893	-0.647	0.388
4.17	0.524	51.000	0.000	0.498	0.513	0.482	-2.592	1.581	-0.482	0.498
4.86	0.611	51.000	0.000	0.638	0.650	0.630	-2.732	1.444	-0.630	0.638
5.56	0.698	51.000	0.000	0.740	0.749	0.736	-2.834	1.346	-0.736	0.740
6.25	0.785	51.000	0.000	0.774	0.749	0.785	-2.869	1.346	-0.785	0.774
6.94	0.873	51.000	0.000	0.829	-2.007	0.813	-2.940	-2.182	-0.813	0.845
7.64	0.960	51.000	0.000	0.972	-1.852	0.954	-3.085	-2.336	-0.954	0.991
8.33	1.047	51.000	0.000	1.079	-1.811	1.055	3.087	-2.378	-1.055	1.102
9.03	1.134	51.000	0.000	1.169	-1.969	1.160	3.011	-2.220	-1.160	1.178
9.72	1.222	51.000	0.000	1.221	0.909	1.256	2.916	1.185	-1.256	1.273
10.42	1.309	51.000	0.000	1.297	0.850	1.349	2.801	1.244	-1.349	1.388
11.11	1.396	51.000	0.000	1.456	0.635	1.456	2.734	1.460	-1.456	1.454
11.81	1.484	51.000	0.000	1.434	0.544	1.434	2.833	1.550	-1.434	1.356
12.50	1.571	51.000	0.000	1.580	0.508	1.580	2.615	1.586	-1.580	1.574
13.19	1.658	51.000	0.000	1.728	0.395	1.728	2.409	1.700	-1.728	1.780
13.89	1.745	51.000	0.000	1.856	0.195	1.856	2.441	1.899	-1.856	1.747
14.58	1.833	51.000	0.000	1.865	0.260	1.896	-1.275	1.834	-1.896	-0.820
15.28	1.920	51.000	0.000	1.900	0.192	1.898	2.307	1.902	-1.898	1.882
15.97	2.007	51.000	0.000	1.978	0.153	2.015	-1.384	1.941	-2.015	-0.711
16.67	2.094	51.000	0.000	2.085	0.051	2.126	-1.424	2.044	-2.126	-0.670
17.36	2.182	51.000	0.000	2.154	-0.099	2.154	2.370	2.193	-2.154	1.819
18.06	2.269	51.000	0.000	2.199	-0.097	2.206	-1.169	2.191	-2.206	-0.926
18.75	2.356	51.000	0.000	2.343	-0.248	2.267	2.514	2.343	-2.267	1.675
19.44	2.443	51.000	0.000	2.450	-0.355	2.493	2.361	2.450	-2.493	1.827
20.14	2.531	51.000	0.000	2.625	-0.530	2.623	2.627	2.625	-2.623	1.562
20.83	2.618	51.000	0.000	2.627	-0.533	2.667	2.589	2.627	-2.667	1.600
21.53	2.705	51.000	0.000	2.683	-0.588	2.658	2.702	2.683	-2.658	1.487
22.22	2.793	51.000	0.000	2.819	-0.724	2.712	2.876	2.819	-2.712	1.313
22.92	2.880	51.000	0.000	2.859	-0.764	2.781	2.893	2.859	-2.781	1.295
23.61	2.967	51.000	0.000	2.977	-0.852	2.775	3.008	2.947	-2.775	1.181
24.31	3.054	51.000	0.000	3.026	-0.949	0.213	3.009	3.043	-0.213	1.180
25.00	3.142	51.000	0.000	-3.095	-1.106	0.196	-3.106	-3.083	-0.196	1.012
25.69	-3.054	51.000	0.000	-3.045	-1.120	2.832	-3.020	-3.069	-2.832	0.926
26.39	-2.967	51.000	0.000	-2.944	-1.192	2.793	-2.944	-2.997	-2.793	0.849
27.08	-2.880	51.000	0.000	-2.889	-1.230	2.731	-2.889	-2.959	-2.731	0.795
27.78	-2.793	51.000	0.000	-2.784	-1.379	2.739	-2.784	-2.809	-2.739	0.689
28.47	-2.705	51.000	0.000	-2.724	-1.477	2.742	-2.724	-2.712	-2.742	0.630
29.17	-2.618	51.000	0.000	-2.672	-1.473	2.620	-2.672	-2.716	-2.620	0.578
29.86	-2.531	51.000	0.000	-2.479	-1.684	2.464	-2.479	-2.505	-2.464	0.385
30.56	-2.443	51.000	0.000	-2.447	-1.639	2.387	-2.447	-2.549	-2.387	0.353
