percent	ang_W	r	phase	choose_angle	delta_1_x_3	delta_2_x_1	delta_3_x_2	delta_3_x_1	delta_1_x_2	delta_2_x_3
0.00	0.000	51.000	0.000	0.006	0.001	0.095	-2.100	2.094	-0.095	0.006
0.69	0.087	51.000	0.000	0.073	0.067	0.125	-2.168	2.028	-0.125	0.073
1.39	0.175	51.000	0.000	0.191	0.189	0.199	-2.286	1.905	-0.199	0.191
2.08	0.262	51.000	0.000	0.249	0.235	0.287	-2.343	1.859	-0.287	0.249
2.78	0.349	51.000	0.000	0.321	0.342	0.274	-2.415	1.752	-0.274	0.321
3.47	0.436	51.000	0.000	0.393	0.406	0.371	-2.487	1.688	-0.371	0.393
4.17	0.524	51.000	0.000	0.549	0.553	0.545	-2.643	1.541	-0.545	0.549
4.86	0.611	51.000	0.000	0.599	0.623	0.580	-2.693	1.472	-0.580	0.599
5.56	0.698	51.000	0.000	0.708	0.740	0.693	-2.803	1.354	-0.693	0.708
6.25	0.785	51.000	0.000	0.756	0.733	0.765	-2.850	1.361	-0.765	0.756
6.94	0.873	51.000	0.000	0.920	0.949	0.883	-2.986	1.146	-0.883	0.892
7.64	0.960	51.000	0.000	-2.094	-2.032	0.980	-3.079	-2.157	-0.980	0.984
8.33	1.047	51.000	0.000	1.027	0.962	1.029	-3.120	1.132	-1.029	1.025
9.03	1.134	51.000	0.000	1.153	0.894	1.157	3.039	1.201	-1.157	1.150
9.72	1.222	51.000	0.000	1.231	0.821	1.236	2.963	1.273	-1.236	1.225
10.42	1.309	51.000	0.000	1.263	0.891	1.323	2.829	1.203	-1.323	1.360
11.11	1.396	51.000	0.000	1.424	0.743	1.424	2.724	1.351	-1.424	1.464
11.81	1.484	51.000	0.000	1.498	0.621	1.498	2.671	1.473	-1.498	1.518
12.50	1.571	51.000	0.000	1.599	0.546	1.599	2.532	1.548	-1.599	1.657
13.19	1.658	51.000	0.000	1.617	0.499	1.617	2.546	1.596	-1.617	1.642
13.89	1.745	51.000	0.000	1.743	0.363	1.743	2.425	1.731	-1.743	1.764
14.58	1.833	51.000	0.000	1.844	0.316	1.806	2.307	1.779	-1.806	1.881
15.28	1.920	51.000	0.000	1.942	0.209	1.902	2.207	1.886	-1.902	1.982
15.97	2.007	51.000	0.000	2.011	0.095	2.024	-1.236	1.999	-2.024	-0.859
16.67	2.094	51.000	0.000	2.061	0.026	2.054	2.255	2.068	-2.054	1.934
17.36	2.182	51.000	0.000	2.215	-0.114	2.221	-1.129	2.209	-2.221	-0.965
18.06	2.269	51.000	0.000	2.308	-0.214	2.298	2.340	2.308	-2.298	1.849
18.75	2.356	51.000	0.000	2.376	-0.281	2.359	2.415	2.376	-2.359	1.774
19.44	2.443	51.000	0.000	2.403	-0.308	2.424	2.352	2.403	-2.424	1.837
20.14	2.531	51.000	0.000	2.511	-0.417	2.506	2.519	2.511	-2.506	1.670
20.83	2.618	51.000	0.000	2.575	-0.480	2.555	2.598	2.575	-2.555	1.591
21.53	2.705	51.000	0.000	2.710	-0.616	2.705	2.714	2.710	-2.705	1.475
22.22	2.793	51.000	0.000	2.816	-0.722	2.846	2.802	2.816	-2.846	1.386
22.92	2.880	51.000	0.000	2.883	-0.788	2.781	2.925	2.883	-2.781	1.264
23.61	2.967	51.000	0.000	2.952	-0.851	2.959	2.942	2.946	-2.959	1.247
24.31	3.054	51.000	0.000	3.053	-0.966	0.136	3.046	3.061	-0.136	1.143
25.00	3.142	51.000	0.000	3.134	-1.040	0.050	3.133	3.135	-0.050	1.056
25.69	-3.054	51.000	0.000	-3.056	-1.131	3.019	-3.053	-3.058	-3.019	0.959
26.39	-2.967	51.000	0.000	-2.979	-1.223	0.124	-2.991	-2.966	-0.124	0.896
27.08	-2.880	51.000	0.000	-2.895	-1.282	2.861	-2.895	-2.907	-2.861	0.800
27.78	-2.793	51.000	0.000	-2.787	-1.403	2.788	-2.787	-2.786	-2.788	0.692
28.47	-2.705	51.000	0.000	-2.699	-1.534	2.760	-2.699	-2.655	-2.760	0.605
29.17	-2.618	51.000	0.000	-2.617	-1.577	2.622	-2.617	-2.611	-2.622	0.522
29.86	-2.531	51.000	0.000	-2.555	-1.641	2.560	-2.555	-2.547	-2.560	0.460
30.56	-2.443	51.000	0.000	-2.471	-1.627	2.414	-2.471	-2.562	-2.414	0.377
31.25	-2.356	51.000	0.000	-2.349	-1.879	2.362	-2.349	-2.309	-2.362	0.255
31.94	-2.269	51.000	0.000	-2.275	-1.792	2.237	-2.275	-2.397	-2.237	0.180
32.64	-2.182	51.000	0.000	-2.185	0.960	2.190	-2.181	1.134	-2.190	0.086
33.33	-2.094	51.000	0.000	-2.066	0.929	2.070	-2.061	1.166	-2.070	-0.033
34.03	-2.007	51.000	0.000	-2.001	-1.934	1.996	-2.006	-2.254	-1.996	-0.088
34.72	-1.920	51.000	0.000	-1.952	-2.007	1.896	-1.875	-2.182	-1.896	-0.219
35.42	-1.833	51.000	0.000	-1.847	-1.875	1.819	-1.799	-2.314	-1.819	-0.295
36.11	-1.745	51.000	0.000	-1.732	-1.689	1.732	-1.757	-2.499	-1.732	-0.338
36.81	-1.658	51.000	0.000	-1.672	-1.650	1.672	-1.687	-2.539	-1.672	-0.407
37.50	-1.571	51.000	0.000	-1.552	-1.545	1.552	-1.560	-2.644	-1.552	-0.535
38.19	-1.484	51.000	0.000	-1.498	-1.500	1.498	-1.494	-2.689	-1.498	-0.600
38.89	-1.396	51.000	0.000	-1.371	-1.362	1.371	-1.389	-2.827	-1.371	-0.705
39.58	-1.309	51.000	0.000	-1.337	-1.327	1.337	-1.361	-2.862	-1.337	-0.734
40.28	-1.222	51.000	0.000	-1.247	-1.214	1.247	-1.347	-2.975	-1.247	-0.747
40.97	-1.134	51.000	0.000	-1.147	-1.108	1.147	-1.320	-3.080	-1.147	-0.775
41.67	-1.047	51.000	0.000	-1.039	-1.043	1.034	2.213	3.137	-1.034	1.975
42.36	-0.960	51.000	0.000	-0.929	-0.948	0.911	2.315	3.042	-0.911	1.873
43.06	-0.873	51.000	0.000	-0.802	-0.802	0.870	-1.451	2.897	-0.870	-0.644
43.75	-0.785	51.000	0.000	-0.863	-0.780	0.736	-1.148	2.874	-0.736	-0.946
44.44	-0.698	51.000	0.000	-0.689	-0.689	0.701	-1.428	2.783	-0.701	-0.666
45.14	-0.611	51.000	0.000	-0.571	-0.571	0.602	-1.559	2.666	-0.602	-0.536
45.83	-0.524	51.000	0.000	-0.503	-0.503	0.507	-1.595	2.598	-0.507	-0.500
46.53	-0.436	51.000	0.000	-0.457	-0.457	0.434	-1.619	2.551	-0.434	-0.475
47.22	-0.349	51.000	0.000	-0.350	-0.350	0.361	-1.751	2.444	-0.361	-0.344
47.92	-0.262	51.000	0.000	-0.277	-0.277	0.362	-1.855	2.371	-0.362	-0.239
48.61	-0.175	51.000	0.000	-0.169	-0.169	0.010	-1.906	2.264	-0.010	-0.188
49.31	-0.087	51.000	0.000	-0.095	-0.076	2.904	-1.980	2.170	-2.904	-0.114
50.00	0.000	51.000	0.000	0.016	0.026	2.956	-2.100	2.069	-2.956	0.006
