percent	ang_W	r	phase	choose_angle	delta_1_x_5	delta_2_x_1	delta_3_x_2	delta_4_x_3	delta_5_x_4	delta_5_x_1	delta_1_x_2	delta_2_x_3	delta_3_x_4	delta_4_x_5
0.00	0.000	51.000	0.000	0.004	-0.005	0.004	3.071	2.510	-1.250	1.261	-2.518	-3.071	0.003	-0.007
0.69	0.087	51.000	0.000	0.083	0.097	0.083	0.064	2.438	-1.360	1.159	-2.596	-0.064	0.075	0.103
1.39	0.175	51.000	0.000	0.171	0.194	0.171	0.156	2.345	-1.441	1.062	-2.684	-0.156	0.169	0.184
2.08	0.262	51.000	0.000	0.265	0.268	0.261	0.270	2.251	-1.521	0.989	-2.774	-0.270	0.263	0.265
2.78	0.349	51.000	0.000	0.338	0.338	0.357	0.313	2.177	-1.610	0.919	-2.870	-0.313	0.336	0.353
3.47	0.436	51.000	0.000	0.439	0.459	0.439	0.423	2.084	-1.700	0.798	-2.952	-0.423	0.429	0.443
4.17	0.524	51.000	0.000	0.526	0.531	0.519	0.528	1.992	-1.780	0.725	-3.032	-0.528	0.522	0.524
4.86	0.611	51.000	0.000	0.611	0.539	0.615	0.609	1.906	-1.869	0.718	-3.129	-0.609	0.607	0.612
5.56	0.698	51.000	0.000	0.695	0.548	0.708	0.679	1.820	-1.953	0.708	3.062	-0.679	0.693	0.697
6.25	0.785	51.000	0.000	0.795	0.451	0.803	0.771	1.743	-2.052	0.805	2.967	-0.771	0.770	0.795
6.94	0.873	51.000	0.000	0.879	0.392	0.885	0.872	1.634	-2.138	0.864	2.885	-0.872	0.879	0.882
7.64	0.960	51.000	0.000	0.960	0.295	0.960	0.959	1.562	-2.218	0.962	2.810	-0.959	0.951	0.961
8.33	1.047	51.000	0.000	1.045	0.192	1.051	1.045	1.474	-2.299	1.065	2.719	-1.045	1.039	1.042
9.03	1.134	51.000	0.000	1.130	0.138	1.130	1.135	1.385	-2.397	1.119	2.639	-1.135	1.129	1.140
9.72	1.222	51.000	0.000	1.225	0.033	1.229	1.217	1.361	-2.483	1.224	2.541	-1.217	1.153	1.226
10.42	1.309	51.000	0.000	1.310	-0.064	1.316	1.305	-1.985	-2.551	1.321	2.454	-1.305	-1.785	1.294
11.11	1.396	51.000	0.000	1.389	-0.142	1.388	1.398	1.375	-2.646	1.398	2.382	-1.398	1.138	1.390
11.81	1.484	51.000	0.000	1.494	-0.237	1.497	1.476	1.499	-2.732	1.494	2.273	-1.476	1.014	1.476
12.50	1.571	51.000	0.000	1.559	-0.303	1.540	1.577	1.552	-2.828	1.559	2.230	-1.577	0.961	1.571
13.19	1.658	51.000	0.000	1.659	-0.408	1.642	1.663	1.659	-2.909	1.665	2.128	-1.663	0.854	1.652
13.89	1.745	51.000	0.000	1.753	-0.492	1.762	1.757	1.719	-3.000	1.748	2.008	-1.757	0.794	1.744
