percent	ang_W	r	phase	choose_angle	delta_1_x_5	delta_2_x_1	delta_3_x_2	delta_4_x_3	delta_5_x_4	delta_5_x_1	delta_1_x_2	delta_2_x_3	delta_3_x_4	delta_4_x_5
0.00	0.000	51.000	0.000	-0.010	-0.010	-0.002	3.099	2.527	-1.265	1.266	-2.512	-3.099	-0.014	0.008
0.69	0.087	51.000	0.000	0.090	0.084	0.090	0.140	2.413	-1.336	1.173	-2.603	-0.140	0.100	0.079
1.39	0.175	51.000	0.000	0.169	0.181	0.168	0.169	2.337	-1.422	1.076	-2.681	-0.169	0.176	0.166
2.08	0.262	51.000	0.000	0.250	0.240	0.269	0.247	2.246	-1.507	1.017	-2.782	-0.247	0.267	0.250
2.78	0.349	51.000	0.000	0.347	0.349	0.347	0.347	2.167	-1.604	0.907	-2.860	-0.347	0.347	0.348
3.47	0.436	51.000	0.000	0.446	0.459	0.448	0.414	2.080	-1.703	0.797	-2.961	-0.414	0.434	0.446
4.17	0.524	51.000	0.000	0.524	-2.480	0.524	0.512	1.989	-1.780	-2.547	-3.037	-0.512	0.524	0.524
4.86	0.611	51.000	0.000	0.609	0.538	0.613	0.607	1.909	-1.868	0.718	-3.126	-0.607	0.604	0.611
5.56	0.698	51.000	0.000	0.700	0.490	0.694	0.703	1.813	-1.946	0.767	3.076	-0.703	0.700	0.689
6.25	0.785	51.000	0.000	0.778	0.411	0.791	0.776	1.741	-2.035	0.845	2.979	-0.776	0.773	0.778
6.94	0.873	51.000	0.000	0.882	0.399	0.884	0.879	1.618	-2.139	0.858	2.886	-0.879	0.896	0.882
7.64	0.960	51.000	0.000	0.955	0.304	0.965	0.955	1.527	-2.211	0.953	2.805	-0.955	0.986	0.954
8.33	1.047	51.000	0.000	1.044	0.236	1.044	1.043	1.470	-2.310	1.020	2.726	-1.043	1.044	1.053
9.03	1.134	51.000	0.000	1.139	0.148	1.141	1.122	1.366	-2.395	1.109	2.629	-1.122	1.147	1.139
9.72	1.222	51.000	0.000	1.220	0.035	1.232	1.206	1.370	-2.476	1.221	2.537	-1.206	1.143	1.219
10.42	1.309	51.000	0.000	1.310	-0.060	1.300	1.311	1.380	-2.564	1.316	2.470	-1.311	1.133	1.308
11.11	1.396	51.000	0.000	1.384	-0.140	1.416	1.384	1.321	-2.640	1.397	2.354	-1.384	1.192	1.384
11.81	1.484	51.000	0.000	1.484	-0.228	1.506	1.491	1.389	-2.739	1.484	2.264	-1.491	1.124	1.482
12.50	1.571	51.000	0.000	1.567	-0.327	1.627	1.565	1.564	-2.823	1.584	2.143	-1.565	0.950	1.567
13.19	1.658	51.000	0.000	1.664	-0.407	1.731	1.674	1.595	-2.918	1.664	2.039	-1.674	0.919	1.661
13.89	1.745	51.000	0.000	1.752	-0.498	1.713	1.749	1.754	-2.993	1.755	2.057	-1.749	0.759	1.737
14.58	1.833	51.000	0.000	1.829	-0.570	1.792	1.836	1.821	-3.089	1.827	1.978	-1.836	0.692	1.832
15.28	1.920	51.000	0.000	1.921	-0.684	-1.117	1.898	1.951	3.126	1.941	-1.396	-1.898	0.562	1.901
15.97	2.007	51.000	0.000	2.015	-0.766	1.726	2.015	2.015	3.036	2.023	2.044	-2.015	0.498	1.991
16.67	2.094	51.000	0.000	2.092	-0.839	1.692	2.085	2.102	2.935	2.096	2.078	-2.085	0.412	2.092
17.36	2.182	51.000	0.000	2.199	-0.917	1.549	2.199	2.183	2.810	2.174	2.221	-2.199	0.330	2.217
18.06	2.269	51.000	0.000	2.272	-1.013	1.490	2.272	2.272	2.755	2.269	2.280	-2.272	0.241	2.271
18.75	2.356	51.000	0.000	2.366	-1.081	1.372	2.371	2.361	-0.668	2.338	2.398	-2.371	0.152	-0.589
19.44	2.443	51.000	0.000	2.456	-1.188	1.305	2.463	2.450	-0.706	2.445	2.464	-2.463	0.064	-0.551
20.14	2.531	51.000	0.000	2.533	-1.263	1.224	2.548	2.521	-0.692	2.520	2.545	-2.548	-0.008	-0.564
20.83	2.618	51.000	0.000	2.618	-1.358	1.136	2.626	2.621	2.614	2.614	2.633	-2.626	-0.108	2.412
21.53	2.705	51.000	0.000	2.708	-1.448	1.052	2.708	2.701	2.760	2.704	2.718	-2.708	-0.187	2.267
22.22	2.793	51.000	0.000	2.793	-1.517	0.946	2.828	2.793	2.785	2.774	2.824	-2.828	-0.279	2.242
22.92	2.880	51.000	0.000	2.881	-1.599	0.872	2.881	2.886	2.849	2.856	2.897	-2.881	-0.373	2.178
23.61	2.967	51.000	0.000	2.977	-1.716	0.793	2.988	2.965	2.991	2.972	2.977	-2.988	-0.452	2.035
24.31	3.054	51.000	0.000	3.055	-1.790	0.706	3.035	3.067	3.042	3.047	3.064	-3.035	-0.554	1.985
25.00	3.142	51.000	0.000	3.139	-1.889	0.639	2.980	-3.129	3.130	-3.137	3.131	-2.980	-0.641	1.896
25.69	-3.054	51.000	0.000	-3.055	-1.977	0.547	3.027	-3.054	-3.057	-3.050	-3.060	-3.027	-0.716	1.800
26.39	-2.967	51.000	0.000	-2.968	-2.046	0.465	2.881	-2.964	-2.968	-2.980	-2.978	-2.881	-0.806	1.712
27.08	-2.880	51.000	0.000	-2.883	-2.145	0.370	2.897	-2.876	-2.894	-2.881	-2.883	-2.897	-0.893	1.637
27.78	-2.793	51.000	0.000	-2.788	-2.262	0.276	2.788	-2.797	-2.774	-2.764	-2.789	-2.788	-0.973	1.518
28.47	-2.705	51.000	0.000	-2.688	-2.392	0.202	2.684	-2.693	-2.703	-2.634	-2.715	-2.684	-1.077	1.446
29.17	-2.618	51.000	0.000	-2.617	-2.390	0.119	2.587	-2.606	-2.628	-2.637	-2.633	-2.587	-1.164	1.371
29.86	-2.531	51.000	0.000	-2.539	-2.327	0.007	2.539	-2.545	-2.533	-2.700	-2.520	-2.539	-1.224	1.277
30.56	-2.443	51.000	0.000	-2.445	-2.418	-0.067	2.441	-2.450	-2.443	-2.609	-2.446	-2.441	-1.320	1.187
31.25	-2.356	51.000	0.000	-2.356	0.565	-0.153	2.352	-2.372	-2.335	0.692	-2.360	-2.352	-1.398	1.078
31.94	-2.269	51.000	0.000	-2.269	-2.276	-0.234	2.255	-2.259	-2.269	-2.751	-2.279	-2.255	-1.511	1.012
32.64	-2.182	51.000	0.000	-2.182	-2.178	-0.336	2.188	-2.188	-2.182	-2.849	-2.177	-2.188	-1.582	0.926
33.33	-2.094	51.000	0.000	-2.094	-2.064	-0.420	2.093	-2.100	-2.104	-2.962	-2.094	-2.093	-1.670	0.847
34.03	-2.007	51.000	0.000	-2.010	-2.025	-0.493	2.007	-1.922	-2.014	-3.001	-2.020	-2.007	-1.848	0.757
34.72	-1.920	51.000	0.000	-1.927	-1.938	-0.582	1.913	1.407	-1.922	-3.088	-1.931	-1.913	1.106	0.665
35.42	-1.833	51.000	0.000	-1.836	-1.838	-0.671	1.834	-1.991	-1.831	3.095	-1.842	-1.834	-1.779	0.575
36.11	-1.745	51.000	0.000	-1.761	-1.762	-0.753	1.734	-1.945	-1.737	3.018	-1.760	-1.734	-1.825	0.480
36.81	-1.658	51.000	0.000	-1.664	-1.664	-0.850	1.665	-2.150	-1.653	2.921	-1.664	-1.665	-1.620	0.396
37.50	-1.571	51.000	0.000	-1.574	-1.565	-0.946	1.580	-2.195	-1.589	2.821	-1.567	-1.580	-1.574	0.332
38.19	-1.484	51.000	0.000	-1.494	-1.473	-1.088	1.494	-2.276	-1.499	2.730	-1.425	-1.494	-1.494	0.242
38.89	-1.396	51.000	0.000	-1.382	-1.397	1.806	1.407	-2.408	-1.368	2.653	1.964	-1.407	-1.362	0.111
