percent	ang_W	r	phase	choose_angle	delta_1_x_7	delta_2_x_1	delta_3_x_2	delta_4_x_3	delta_5_x_4	delta_6_x_5	delta_7_x_6	delta_7_x_1	delta_1_x_2	delta_2_x_3	delta_3_x_4	delta_4_x_5	delta_5_x_6	delta_6_x_7
0.00	0.000	51.000	0.000	0.009	0.009	0.002	-0.006	0.010	1.801	-2.695	-0.907	0.888	2.691	-1.789	-0.010	-0.006	0.002	0.009
0.69	0.087	51.000	0.000	0.089	0.097	0.090	0.082	0.077	1.715	-2.781	-0.994	0.801	2.602	-1.877	-0.077	0.080	0.089	0.096
1.39	0.175	51.000	0.000	0.175	0.184	0.179	0.170	0.164	1.628	-2.868	-1.080	0.713	2.514	-1.965	-0.164	0.167	0.175	0.183
2.08	0.262	51.000	0.000	0.261	0.272	0.267	0.258	0.252	1.542	-2.954	-1.167	0.626	2.426	-2.053	-0.252	0.254	0.261	0.269
2.78	0.349	51.000	0.000	0.351	0.359	0.355	0.346	0.339	1.455	-3.041	-1.254	0.538	2.338	-2.141	-0.339	0.340	0.348	0.356
3.47	0.436	51.000	0.000	0.438	0.447	0.443	0.434	0.427	1.368	-3.127	-1.340	0.451	2.250	-2.229	-0.427	0.427	0.434	0.443
4.17	0.524	51.000	0.000	0.522	0.364	0.531	0.522	0.515	1.281	3.070	-1.427	0.534	2.162	-2.317	-0.515	0.514	0.521	0.529
4.86	0.611	51.000	0.000	0.610	0.277	0.618	0.610	0.602	1.194	2.983	-1.513	0.621	2.074	-2.405	-0.602	0.601	0.607	0.616
5.56	0.698	51.000	0.000	0.698	0.190	0.706	0.698	0.690	1.107	2.897	-1.600	0.708	1.987	-2.494	-0.690	0.688	0.694	0.702
6.25	0.785	51.000	0.000	0.787	0.103	0.794	0.787	0.778	1.020	2.810	-1.686	0.795	1.899	-2.582	-0.778	0.775	0.780	0.789
6.94	0.873	51.000	0.000	0.875	0.016	0.882	0.875	0.866	0.933	2.724	-1.773	0.882	1.811	-2.670	-0.866	0.862	0.867	0.875
7.64	0.960	51.000	0.000	0.958	-0.071	0.969	0.963	0.954	0.950	2.637	-1.859	0.969	1.723	-2.758	-0.954	0.845	0.953	0.962
8.33	1.047	51.000	0.000	1.048	-0.158	1.057	1.051	1.042	1.037	2.551	-1.946	1.056	1.636	-2.846	-1.042	0.758	1.040	1.048
9.03	1.134	51.000	0.000	1.134	-0.245	1.144	1.139	1.130	1.125	2.464	-2.032	1.142	1.548	-2.934	-1.130	0.671	1.126	1.134
9.72	1.222	51.000	0.000	1.221	-0.331	1.232	1.227	1.218	1.212	2.377	-2.118	1.229	1.461	-3.022	-1.218	0.583	1.213	1.221
10.42	1.309	51.000	0.000	1.311	-0.418	1.319	1.315	1.306	1.300	2.290	-2.205	1.316	1.374	-3.110	-1.306	0.496	1.300	1.307
11.11	1.396	51.000	0.000	1.394	-0.505	1.286	1.403	1.394	1.387	2.203	-2.291	1.402	1.406	3.085	-1.394	0.408	1.387	1.394
11.81	1.484	51.000	0.000	1.483	-0.591	1.199	1.491	1.483	1.475	2.117	-2.378	1.489	1.494	2.997	-1.483	0.320	1.474	1.480
12.50	1.571	51.000	0.000	1.571	-0.678	1.112	1.579	1.571	1.563	2.029	-2.464	1.575	1.581	2.909	-1.571	0.232	1.561	1.566
13.19	1.658	51.000	0.000	1.659	-0.764	1.025	1.667	1.659	1.651	1.942	-2.551	1.662	1.668	2.821	-1.659	0.145	1.648	1.653
13.89	1.745	51.000	0.000	1.748	-0.850	0.938	1.754	1.747	1.739	1.855	-2.637	1.748	1.755	2.734	-1.747	0.057	1.735	1.739
14.58	1.833	51.000	0.000	1.830	-0.937	0.851	1.842	1.835	1.827	1.822	-2.724	1.834	1.842	2.646	-1.835	-0.031	1.768	1.826
15.28	1.920	51.000	0.000	1.921	-1.023	0.764	1.930	1.923	1.915	1.910	-2.810	1.921	1.928	2.558	-1.923	-0.119	1.681	1.913
15.97	2.007	51.000	0.000	2.007	-1.110	0.678	2.017	2.011	2.003	1.997	-2.897	2.007	2.015	2.471	-2.011	-0.207	1.593	1.999
16.67	2.094	51.000	0.000	2.094	-1.196	0.591	2.104	2.100	2.091	2.085	-2.984	2.094	2.102	2.384	-2.100	-0.295	1.506	2.086
17.36	2.182	51.000	0.000	2.184	-1.282	0.504	2.192	2.188	2.179	2.172	-3.070	2.180	2.188	2.296	-2.188	-0.384	1.418	2.173
18.06	2.269	51.000	0.000	2.267	-1.369	0.418	2.209	2.276	2.267	2.260	3.126	2.266	2.275	2.279	-2.276	-0.472	1.331	2.260
18.75	2.356	51.000	0.000	2.355	-1.455	0.331	2.122	2.363	2.355	2.348	3.039	2.353	2.362	2.366	-2.363	-0.560	1.243	2.347
19.44	2.443	51.000	0.000	2.443	-1.542	0.245	2.035	2.451	2.443	2.435	2.952	2.439	2.448	2.453	-2.451	-0.648	1.155	2.434
20.14	2.531	51.000	0.000	2.531	-1.628	0.158	1.948	2.539	2.531	2.523	2.865	2.526	2.535	2.540	-2.539	-0.736	1.067	2.521
20.83	2.618	51.000	0.000	2.620	-1.715	0.072	1.861	2.627	2.620	2.611	2.778	2.612	2.621	2.627	-2.627	-0.824	0.979	2.608
21.53	2.705	51.000	0.000	2.703	-1.801	-0.015	1.774	2.715	2.708	2.699	2.695	2.699	2.707	2.714	-2.715	-0.912	0.891	2.691
22.22	2.793	51.000	0.000	2.790	-1.888	-0.101	1.687	2.802	2.796	2.787	2.782	2.785	2.794	2.801	-2.802	-1.001	0.803	2.603
22.92	2.880	51.000	0.000	2.880	-1.975	-0.187	1.600	2.890	2.884	2.875	2.870	2.872	2.880	2.888	-2.890	-1.089	0.715	2.516
23.61	2.967	51.000	0.000	2.967	-2.061	-0.274	1.513	2.977	2.972	2.963	2.957	2.959	2.967	2.975	-2.977	-1.177	0.627	2.428
24.31	3.054	51.000	0.000	3.056	-2.148	-0.360	1.427	3.064	3.060	3.051	3.045	3.046	3.053	3.061	-3.064	-1.265	0.539	2.341
25.00	3.142	51.000	0.000	3.139	-2.235	-0.447	1.340	3.131	-3.135	3.139	3.132	3.132	3.139	-3.135	-3.131	-1.353	0.451	2.253
25.69	-3.054	51.000	0.000	-3.057	-2.322	-0.533	1.254	3.044	-3.047	-3.056	-3.063	-3.064	-3.057	-3.049	-3.044	-1.441	0.363	2.166
26.39	-2.967	51.000	0.000	-2.968	-2.409	-0.619	1.167	2.957	-2.959	-2.968	-2.975	-2.977	-2.971	-2.962	-2.957	-1.529	0.275	2.078
27.08	-2.880	51.000	0.000	-2.879	-2.496	-0.706	1.081	2.870	-2.872	-2.879	-2.888	-2.890	-2.885	-2.876	-2.870	-1.616	0.187	1.990
27.78	-2.793	51.000	0.000	-2.790	-2.583	-0.792	0.994	2.783	-2.784	-2.791	-2.800	-2.803	-2.798	-2.789	-2.783	-1.704	0.098	1.902
28.47	-2.705	51.000	0.000	-2.703	-2.670	-0.879	0.908	2.696	-2.696	-2.703	-2.712	-2.715	-2.711	-2.703	-2.696	-1.792	0.010	1.814
29.17	-2.618	51.000	0.000	-2.616	-2.628	-0.966	0.821	2.609	-2.608	-2.615	-2.624	-2.757	-2.625	-2.616	-2.609	-1.880	-0.078	1.726
29.86	-2.531	51.000	0.000	-2.530	-2.541	-1.052	0.735	2.522	-2.521	-2.527	-2.536	-2.845	-2.538	-2.530	-2.522	-1.967	-0.166	1.638
30.56	-2.443	51.000	0.000	-2.444	-2.453	-1.139	0.649	2.436	-2.433	-2.439	-2.448	-2.932	-2.452	-2.444	-2.436	-2.055	-0.254	1.550
31.25	-2.356	51.000	0.000	-2.357	-2.366	-1.226	0.562	2.349	-2.346	-2.351	-2.360	-3.020	-2.365	-2.357	-2.349	-2.142	-0.342	1.462
31.94	-2.269	51.000	0.000	-2.267	-2.278	-1.312	0.476	2.262	-2.259	-2.263	-2.271	-3.107	-2.278	-2.271	-2.262	-2.229	-0.430	1.374
32.64	-2.182	51.000	0.000	-2.184	-2.191	-1.399	0.389	2.176	-2.316	-2.175	-2.183	3.088	-2.191	-2.185	-2.176	-2.172	-0.518	1.286
33.33	-2.094	51.000	0.000	-2.095	-2.103	-1.486	0.303	2.089	-2.404	-2.087	-2.095	3.000	-2.104	-2.098	-2.089	-2.084	-0.606	1.198
34.03	-2.007	51.000	0.000	-2.007	-2.015	-1.573	0.216	2.003	-2.491	-1.999	-2.007	2.913	-2.017	-2.012	-2.003	-1.997	-0.694	1.109
34.72	-1.920	51.000	0.000	-1.919	-1.927	-1.660	0.130	1.916	-2.578	-1.911	-1.919	2.825	-1.930	-1.925	-1.916	-1.910	-0.782	1.021
35.42	-1.833	51.000	0.000	-1.830	-1.839	-1.748	0.043	1.830	-2.665	-1.824	-1.831	2.737	-1.843	-1.839	-1.830	-1.823	-0.869	0.933
36.11	-1.745	51.000	0.000	-1.747	-1.751	-1.755	-0.043	1.744	-2.752	-1.736	-1.743	2.649	-1.835	-1.752	-1.744	-1.736	-0.957	0.845
36.81	-1.658	51.000	0.000	-1.657	-1.663	-1.668	-0.130	1.657	-2.838	-1.648	-1.654	2.561	-1.922	-1.665	-1.657	-1.650	-1.044	0.757
37.50	-1.571	51.000	0.000	-1.571	-1.575	-1.581	-0.216	1.571	-2.925	-1.561	-1.566	2.473	-2.010	-1.579	-1.571	-1.563	-1.132	0.669
38.19	-1.484	51.000	0.000	-1.484	-1.487	-1.493	-0.303	1.484	-3.012	-1.473	-1.478	2.385	-2.097	-1.492	-1.484	-1.476	-1.219	0.581
38.89	-1.396	51.000	0.000	-1.394	-1.399	-1.406	-0.390	1.398	-3.098	-1.386	-1.390	2.297	-2.185	-1.405	-1.398	-1.390	-1.307	0.493
39.58	-1.309	51.000	0.000	-1.311	-1.311	-1.318	-0.477	1.312	3.098	-1.394	-1.302	2.209	-2.272	-1.318	-1.312	-1.303	-1.299	0.405
40.28	-1.222	51.000	0.000	-1.223	-1.223	-1.230	-0.564	1.225	3.012	-1.481	-1.214	2.120	-2.360	-1.231	-1.225	-1.216	-1.212	0.317
40.97	-1.134	51.000	0.000	-1.135	-1.135	-1.143	-0.651	1.139	2.925	-1.568	-1.127	2.032	-2.448	-1.144	-1.139	-1.130	-1.125	0.229
41.67	-1.047	51.000	0.000	-1.046	-1.046	-1.055	-0.738	1.052	2.839	-1.655	-1.039	1.944	-2.536	-1.057	-1.052	-1.044	-1.037	0.141
42.36	-0.960	51.000	0.000	-0.958	-0.958	-0.967	-0.825	0.966	2.752	-1.742	-0.951	1.856	-2.624	-0.970	-0.966	-0.957	-0.951	0.053
