percent	ang_W	r	phase	choose_angle	delta_1_x_7	delta_2_x_1	delta_3_x_2	delta_4_x_3	delta_5_x_4	delta_6_x_5	delta_7_x_6	delta_7_x_1	delta_1_x_2	delta_2_x_3	delta_3_x_4	delta_4_x_5	delta_5_x_6	delta_6_x_7
0.00	0.000	51.000	0.000	-0.047	-0.001	0.008	-0.001	0.064	1.688	-2.646	-0.834	0.898	2.685	-1.794	-0.064	0.107	-0.047	-0.063
0.69	0.087	51.000	0.000	0.098	0.023	0.107	0.088	0.384	1.652	-2.825	-0.945	0.874	2.585	-1.883	-0.384	0.143	0.132	0.047
1.39	0.175	51.000	0.000	0.188	0.190	0.214	0.128	3.013	1.743	-2.923	-1.084	0.707	2.479	-1.923	-3.013	0.052	0.230	0.186
2.08	0.262	51.000	0.000	0.268	0.319	0.298	0.135	0.523	1.396	-2.961	-1.075	0.579	2.395	-1.930	-0.523	0.399	0.268	0.178
2.78	0.349	51.000	0.000	0.389	0.404	0.345	0.389	2.978	1.548	-3.012	-1.317	0.494	2.348	-2.184	-2.978	0.248	0.319	0.419
3.47	0.436	51.000	0.000	0.439	-2.200	0.407	0.439	0.442	1.296	-3.012	-1.561	3.097	2.286	-2.234	-0.442	0.499	0.319	0.663
4.17	0.524	51.000	0.000	0.532	0.215	0.532	0.506	0.568	1.275	3.050	-1.387	0.683	2.161	-2.301	-0.568	0.520	0.540	0.490
4.86	0.611	51.000	0.000	0.599	0.313	0.555	0.646	0.599	1.336	2.953	-1.534	0.585	2.138	-2.441	-0.599	0.459	0.638	0.636
5.56	0.698	51.000	0.000	0.685	0.213	0.627	0.730	0.687	1.221	2.834	-1.557	0.685	2.066	-2.526	-0.687	0.574	0.756	0.660
6.25	0.785	51.000	0.000	0.849	-0.037	1.127	0.711	0.923	-2.639	2.856	-1.746	0.935	1.566	-2.506	-0.923	-1.849	0.734	0.849
6.94	0.873	51.000	0.000	0.878	0.013	0.870	0.850	0.939	1.015	2.685	-1.776	0.884	1.823	-2.645	-0.939	0.780	0.905	0.878
7.64	0.960	51.000	0.000	0.939	-0.073	0.907	1.010	0.824	1.244	2.575	-1.790	0.970	1.786	-2.806	-0.824	0.551	1.015	0.892
8.33	1.047	51.000	0.000	1.055	-0.228	1.068	0.965	1.121	1.229	2.551	-1.940	1.126	1.624	-2.760	-1.121	0.566	1.039	1.043
9.03	1.134	51.000	0.000	1.138	-0.352	-1.611	1.138	1.138	0.996	2.549	-2.037	1.250	-1.980	-2.933	-1.138	0.799	1.042	1.140
9.72	1.222	51.000	0.000	1.221	-0.397	1.098	1.235	1.306	-2.599	2.384	-2.029	1.294	1.594	-3.030	-1.306	-1.889	1.207	1.132
10.42	1.309	51.000	0.000	1.313	-0.414	-1.549	1.318	1.308	1.232	2.275	-2.211	1.312	-2.042	-3.113	-1.308	0.564	1.316	1.313
11.11	1.396	51.000	0.000	1.336	-0.461	1.006	1.447	1.326	1.318	2.296	-2.244	1.359	1.687	3.041	-1.326	0.477	1.295	1.346
11.81	1.484	51.000	0.000	1.423	-0.683	1.339	1.489	1.466	1.460	2.167	-2.295	1.580	1.354	2.999	-1.466	0.335	1.423	1.397
12.50	1.571	51.000	0.000	1.540	-0.744	-1.472	1.558	1.542	1.482	2.178	-2.436	1.642	-2.119	2.930	-1.542	0.313	1.412	1.538
13.19	1.658	51.000	0.000	1.672	-0.789	1.058	1.695	1.664	1.678	-1.448	-2.562	1.686	1.635	2.793	-1.664	0.117	-1.245	1.665
13.89	1.745	51.000	0.000	1.766	-0.941	0.911	1.750	1.732	1.795	-1.573	-2.519	1.838	1.781	2.738	-1.732	0.001	-1.119	1.622
14.58	1.833	51.000	0.000	1.832	-0.934	0.793	1.797	1.840	1.857	1.987	-2.727	1.832	1.899	2.691	-1.840	-0.062	1.604	1.829
15.28	1.920	51.000	0.000	1.925	-1.027	0.836	1.902	1.847	1.978	2.029	-2.849	1.925	1.857	2.586	-1.847	-0.182	1.561	1.951
15.97	2.007	51.000	0.000	2.024	-1.126	0.702	1.994	2.047	2.042	-1.569	-2.922	2.023	1.991	2.494	-2.047	-0.247	-1.124	2.024
16.67	2.094	51.000	0.000	2.103	-1.132	0.575	-0.632	2.116	2.041	2.091	-3.115	2.030	2.117	-1.163	-2.116	-0.245	1.500	2.218
17.36	2.182	51.000	0.000	2.195	-1.299	0.498	1.969	2.210	2.178	2.249	-3.052	2.197	2.195	2.519	-2.210	-0.383	1.342	2.154
18.06	2.269	51.000	0.000	2.283	-1.401	0.425	1.891	2.333	2.265	2.156	-2.980	2.299	2.268	2.597	-2.333	-0.469	1.435	2.082
18.75	2.356	51.000	0.000	2.371	-1.406	0.213	-0.496	2.379	2.324	2.363	2.978	2.303	2.480	-1.300	-2.379	-0.529	1.227	2.408
19.44	2.443	51.000	0.000	2.430	-1.533	0.262	1.830	2.490	2.372	2.491	3.109	2.430	2.430	2.658	-2.490	-0.577	1.099	2.277
20.14	2.531	51.000	0.000	2.544	-1.595	0.124	1.968	2.619	2.513	2.597	-0.808	2.493	2.569	2.520	-2.619	-0.717	0.993	-0.090
20.83	2.618	51.000	0.000	2.581	-1.743	0.002	1.951	2.775	2.557	2.581	3.108	2.640	2.691	2.537	-2.775	-0.762	1.010	2.278
21.53	2.705	51.000	0.000	2.714	-1.782	0.067	1.676	2.619	2.749	2.759	-0.878	2.679	2.625	2.812	-2.619	-0.954	0.831	-0.020
22.22	2.793	51.000	0.000	2.809	-1.901	-0.071	1.663	2.670	2.819	2.837	-0.625	2.799	2.764	2.825	-2.670	-1.024	0.754	-0.273
22.92	2.880	51.000	0.000	2.918	-1.879	-0.212	1.553	2.931	2.879	2.932	-0.777	2.777	2.905	2.935	-2.931	-1.084	0.658	-0.120
23.61	2.967	51.000	0.000	2.985	-2.137	-0.227	1.503	2.827	3.095	2.850	3.070	3.035	2.920	2.985	-2.827	-1.300	0.740	2.315
24.31	3.054	51.000	0.000	3.090	-2.308	-0.350	1.427	3.119	3.040	3.018	-3.003	-3.078	3.043	3.061	-3.119	-1.245	0.572	2.105
25.00	3.142	51.000	0.000	-3.094	-2.254	-0.430	1.261	2.991	-3.003	3.054	-3.042	-3.132	3.123	-3.056	-2.991	-1.485	0.536	2.144
25.69	-3.054	51.000	0.000	-3.082	-2.190	-0.563	1.287	2.769	-2.959	-3.100	-3.082	3.088	-3.028	-3.082	-2.769	-1.529	0.407	2.184
26.39	-2.967	51.000	0.000	-2.989	-2.478	-0.586	1.179	0.146	-3.026	-2.917	-3.082	-2.908	-3.004	-2.974	-0.146	-1.462	0.224	2.185
27.08	-2.880	51.000	0.000	-2.895	-2.609	-0.688	1.100	2.760	-2.909	-2.766	-3.009	-2.776	-2.902	-2.895	-2.760	-1.579	0.073	2.111
27.78	-2.793	51.000	0.000	-2.795	-2.421	-0.808	1.061	2.645	-2.801	-2.788	-2.824	-2.965	-2.782	-2.856	-2.645	-1.687	0.096	1.926
