percent	ang_W	r	phase	choose_angle	delta_1_x_7	delta_2_x_1	delta_3_x_2	delta_4_x_3	delta_5_x_4	delta_6_x_5	delta_7_x_6	delta_7_x_1	delta_1_x_2	delta_2_x_3	delta_3_x_4	delta_4_x_5	delta_5_x_6	delta_6_x_7
0.00	0.000	51.000	0.000	0.020	0.048	-0.022	0.013	2.970	1.825	-2.699	-0.925	0.849	2.714	-1.808	-2.970	-0.030	0.006	0.027
0.69	0.087	51.000	0.000	0.086	0.136	0.086	0.081	3.058	1.719	-2.780	-1.004	0.762	2.607	-1.877	-3.058	0.077	0.087	0.106
1.39	0.175	51.000	0.000	0.175	0.172	0.183	0.168	0.175	1.608	-2.847	-1.094	0.725	2.510	-1.963	-0.175	0.187	0.154	0.196
2.08	0.262	51.000	0.000	0.259	0.353	0.262	0.259	0.200	1.547	-2.949	-1.175	0.545	2.431	-2.054	-0.200	0.249	0.256	0.277
2.78	0.349	51.000	0.000	0.342	0.277	0.382	0.342	0.311	1.445	-3.018	-1.276	0.620	2.311	-2.137	-0.311	0.350	0.325	0.378
3.47	0.436	51.000	0.000	0.436	0.340	0.450	0.434	0.424	1.347	-3.120	-1.335	0.558	2.243	-2.229	-0.424	0.448	0.427	0.437
4.17	0.524	51.000	0.000	0.533	0.314	0.527	0.523	0.537	1.258	3.078	-1.431	0.584	2.166	-2.318	-0.537	0.537	0.513	0.533
4.86	0.611	51.000	0.000	0.609	0.289	0.614	0.604	0.621	1.187	2.987	-1.518	0.608	2.079	-2.399	-0.621	0.609	0.604	0.620
5.56	0.698	51.000	0.000	0.703	0.238	0.690	0.703	0.716	1.077	2.875	-1.598	0.659	2.003	-2.498	-0.716	0.718	0.715	0.700
6.25	0.785	51.000	0.000	0.785	0.113	0.764	0.791	0.786	1.079	2.796	-1.680	0.785	1.929	-2.586	-0.786	0.716	0.794	0.782
6.94	0.873	51.000	0.000	0.868	-0.001	0.883	0.867	0.858	1.077	2.720	-1.765	0.899	1.810	-2.663	-0.858	0.718	0.870	0.868
7.64	0.960	51.000	0.000	0.964	-0.077	0.991	0.958	0.967	-2.381	2.636	-1.858	0.974	1.701	-2.753	-0.967	-2.107	0.955	0.961
8.33	1.047	51.000	0.000	1.040	-0.143	1.008	1.061	1.042	0.929	2.552	-1.940	1.041	1.684	-2.856	-1.042	0.866	1.038	1.042
9.03	1.134	51.000	0.000	1.131	-0.233	1.113	1.145	1.134	0.991	2.479	-2.029	1.131	1.580	-2.940	-1.134	0.805	1.111	1.132
9.72	1.222	51.000	0.000	1.226	-0.351	1.226	1.227	1.226	1.224	2.364	-2.108	1.249	1.467	-3.022	-1.226	0.571	1.226	1.210
10.42	1.309	51.000	0.000	1.305	-0.410	1.264	1.325	1.301	1.289	2.285	-2.204	1.308	1.429	-3.120	-1.301	0.506	1.305	1.306
11.11	1.396	51.000	0.000	1.400	-0.489	1.249	1.405	1.383	1.412	2.192	-2.299	1.387	1.443	3.083	-1.383	0.383	1.399	1.401
11.81	1.484	51.000	0.000	1.486	-0.588	1.207	1.500	1.481	1.469	2.122	-2.385	1.486	1.486	2.988	-1.481	0.326	1.468	1.487
12.50	1.571	51.000	0.000	1.571	-0.667	1.077	1.592	1.571	1.564	2.031	-2.476	1.564	1.615	2.896	-1.571	0.231	1.560	1.578
13.19	1.658	51.000	0.000	1.656	-0.767	1.064	1.660	1.651	1.656	1.972	-2.557	1.664	1.628	2.828	-1.651	0.139	1.619	1.660
13.89	1.745	51.000	0.000	1.743	-0.849	0.919	1.782	1.739	1.740	1.860	-2.637	1.746	1.774	2.706	-1.739	0.055	1.730	1.740
14.58	1.833	51.000	0.000	1.845	-0.931	0.847	1.863	1.825	1.846	-1.433	-2.742	1.829	1.846	2.625	-1.825	-0.051	-1.260	1.844
15.28	1.920	51.000	0.000	1.925	-1.014	0.757	1.964	1.919	1.925	1.881	-2.835	1.912	1.936	2.524	-1.919	-0.130	1.709	1.937
15.97	2.007	51.000	0.000	2.010	-1.092	0.665	2.033	1.990	2.009	2.035	-2.908	1.990	2.027	2.455	-1.990	-0.213	1.556	2.010
16.67	2.094	51.000	0.000	2.097	-1.197	0.580	2.135	2.099	2.088	2.059	-2.959	2.095	2.112	2.353	-2.099	-0.293	1.531	2.061
17.36	2.182	51.000	0.000	2.179	-1.289	0.508	2.145	2.179	2.180	2.178	-3.048	2.187	2.184	2.343	-2.179	-0.384	1.412	2.151
18.06	2.269	51.000	0.000	2.268	-1.362	0.403	2.159	2.294	2.268	2.233	3.137	2.259	2.290	2.329	-2.294	-0.473	1.357	2.249
