percent	ang_W	r	phase	choose_angle	delta_1_x_3	delta_2_x_1	delta_3_x_2	delta_3_x_1	delta_1_x_2	delta_2_x_3
0.69	0.000	51.000	0.000	0.001	0.001	0.003	-2.096	2.093	-0.003	0.001
1.38	0.087	51.000	0.000	0.088	0.089	0.084	-2.183	2.006	-0.084	0.088
2.07	0.175	51.000	0.000	0.176	0.176	0.172	-2.270	1.918	-0.172	0.176
2.76	0.262	51.000	0.000	0.263	0.264	0.259	-2.357	1.831	-0.259	0.263
3.45	0.349	51.000	0.000	0.350	0.351	0.346	-2.444	1.743	-0.346	0.350
4.14	0.436	51.000	0.000	0.437	0.439	0.434	-2.531	1.656	-0.434	0.437
4.83	0.524	51.000	0.000	0.524	0.526	0.521	-2.618	1.568	-0.521	0.524
5.52	0.611	51.000	0.000	0.611	0.613	0.609	-2.705	1.481	-0.609	0.611
6.21	0.698	51.000	0.000	0.698	0.701	0.696	-2.792	1.394	-0.696	0.698
6.90	0.785	51.000	0.000	0.785	0.788	0.783	-2.879	1.306	-0.783	0.785
7.59	0.873	51.000	0.000	0.872	0.875	0.871	-2.966	1.219	-0.871	0.872
8.28	0.960	51.000	0.000	0.961	0.963	0.958	-3.053	1.132	-0.958	0.959
8.97	1.047	51.000	0.000	1.046	1.044	1.046	-3.140	1.050	-1.046	1.046
9.66	1.134	51.000	0.000	1.133	0.957	1.133	3.056	1.137	-1.133	1.133
10.34	1.222	51.000	0.000	1.221	0.870	1.221	2.969	1.225	-1.221	1.220
11.03	1.309	51.000	0.000	1.308	0.783	1.308	2.882	1.312	-1.308	1.307
11.72	1.396	51.000	0.000	1.396	0.695	1.396	2.795	1.399	-1.396	1.394
12.41	1.484	51.000	0.000	1.483	0.608	1.483	2.708	1.486	-1.483	1.481
13.10	1.571	51.000	0.000	1.571	0.521	1.571	2.620	1.573	-1.571	1.568
13.79	1.658	51.000	0.000	1.658	0.434	1.658	2.533	1.660	-1.658	1.655
14.48	1.745	51.000	0.000	1.746	0.347	1.746	2.446	1.747	-1.746	1.743
15.17	1.833	51.000	0.000	1.833	0.260	1.833	2.359	1.835	-1.833	1.830
15.86	1.920	51.000	0.000	1.921	0.173	1.921	2.272	1.922	-1.921	1.917
16.55	2.007	51.000	0.000	2.008	0.086	2.008	2.184	2.009	-2.008	2.004
17.24	2.094	51.000	0.000	2.096	-0.001	2.096	2.097	2.096	-2.096	2.092
17.93	2.182	51.000	0.000	2.183	-0.088	2.183	2.179	2.183	-2.183	2.010
18.62	2.269	51.000	0.000	2.270	-0.176	2.271	2.266	2.270	-2.271	1.923
19.31	2.356	51.000	0.000	2.357	-0.263	2.358	2.353	2.357	-2.358	1.835
20.00	2.443	51.000	0.000	2.444	-0.350	2.446	2.441	2.444	-2.446	1.748
20.69	2.531	51.000	0.000	2.531	-0.437	2.533	2.528	2.531	-2.533	1.661
21.38	2.618	51.000	0.000	2.618	-0.524	2.620	2.616	2.618	-2.620	1.573
22.07	2.705	51.000	0.000	2.705	-0.611	2.708	2.703	2.705	-2.708	1.486
22.76	2.793	51.000	0.000	2.792	-0.698	2.795	2.790	2.792	-2.795	1.398
23.45	2.880	51.000	0.000	2.879	-0.785	2.883	2.878	2.879	-2.883	1.311
24.14	2.967	51.000	0.000	2.968	-0.872	2.970	2.965	2.966	-2.970	1.224
24.83	3.054	51.000	0.000	3.055	-0.959	3.057	3.053	3.053	-3.057	1.136
25.52	3.142	51.000	0.000	3.140	-1.046	3.139	3.140	3.140	-3.139	1.049
26.21	-3.054	51.000	0.000	-3.056	-1.133	3.052	-3.056	-3.056	-3.052	0.961
26.90	-2.967	51.000	0.000	-2.968	-1.220	2.964	-2.968	-2.969	-2.964	0.874
27.59	-2.880	51.000	0.000	-2.881	-1.307	2.877	-2.881	-2.882	-2.877	0.786
28.28	-2.793	51.000	0.000	-2.793	-1.394	2.790	-2.793	-2.795	-2.790	0.699
28.97	-2.705	51.000	0.000	-2.706	-1.481	2.703	-2.706	-2.708	-2.703	0.611
29.66	-2.618	51.000	0.000	-2.618	-1.568	2.616	-2.618	-2.620	-2.616	0.524
30.34	-2.531	51.000	0.000	-2.530	-1.655	2.528	-2.530	-2.533	-2.528	0.436
31.03	-2.443	51.000	0.000	-2.443	-1.743	2.441	-2.443	-2.446	-2.441	0.349
31.72	-2.356	51.000	0.000	-2.355	-1.830	2.354	-2.355	-2.359	-2.354	0.261
32.41	-2.269	51.000	0.000	-2.268	-1.917	2.267	-2.268	-2.272	-2.267	0.174
33.10	-2.182	51.000	0.000	-2.180	-2.004	2.180	-2.180	-2.184	-2.180	0.086
33.79	-2.094	51.000	0.000	-2.093	-2.092	2.093	-2.093	-2.097	-2.093	-0.001
34.48	-2.007	51.000	0.000	-2.008	-2.010	2.006	-2.006	-2.179	-2.006	-0.089
35.17	-1.920	51.000	0.000	-1.921	-1.923	1.919	-1.918	-2.266	-1.919	-0.176
35.86	-1.833	51.000	0.000	-1.832	-1.835	1.832	-1.831	-2.353	-1.832	-0.264
36.55	-1.745	51.000	0.000	-1.745	-1.748	1.745	-1.743	-2.441	-1.745	-0.351
37.24	-1.658	51.000	0.000	-1.658	-1.661	1.658	-1.656	-2.528	-1.658	-0.439
37.93	-1.571	51.000	0.000	-1.571	-1.573	1.571	-1.568	-2.616	-1.571	-0.526
38.62	-1.484	51.000	0.000	-1.484	-1.486	1.484	-1.481	-2.703	-1.484	-0.613
39.31	-1.396	51.000	0.000	-1.397	-1.398	1.397	-1.394	-2.790	-1.397	-0.701
40.00	-1.309	51.000	0.000	-1.310	-1.311	1.310	-1.306	-2.878	-1.310	-0.788
40.69	-1.222	51.000	0.000	-1.223	-1.224	1.223	-1.219	-2.965	-1.223	-0.875
41.38	-1.134	51.000	0.000	-1.136	-1.136	1.136	-1.132	-3.053	-1.136	-0.963
42.07	-1.047	51.000	0.000	-1.049	-1.049	1.049	-1.050	-3.140	-1.049	-1.044
42.76	-0.960	51.000	0.000	-0.961	-0.961	0.962	-1.137	3.056	-0.962	-0.957
43.45	-0.873	51.000	0.000	-0.874	-0.874	0.874	-1.225	2.968	-0.874	-0.870
44.14	-0.785	51.000	0.000	-0.786	-0.786	0.787	-1.312	2.881	-0.787	-0.783
44.83	-0.698	51.000	0.000	-0.699	-0.699	0.700	-1.399	2.793	-0.700	-0.695
45.52	-0.611	51.000	0.000	-0.611	-0.611	0.613	-1.486	2.706	-0.613	-0.608
46.21	-0.524	51.000	0.000	-0.524	-0.524	0.526	-1.573	2.618	-0.526	-0.521
46.90	-0.436	51.000	0.000	-0.436	-0.436	0.439	-1.660	2.530	-0.439	-0.434
47.59	-0.349	51.000	0.000	-0.349	-0.349	0.352	-1.747	2.443	-0.352	-0.347
48.28	-0.262	51.000	0.000	-0.261	-0.261	0.265	-1.835	2.355	-0.265	-0.260
48.97	-0.175	51.000	0.000	-0.174	-0.174	0.177	-1.922	2.268	-0.177	-0.173
49.66	-0.087	51.000	0.000	-0.086	-0.086	0.090	-2.009	2.180	-0.090	-0.086
50.34	0.000	51.000	0.000	0.001	0.001	0.003	-2.096	2.093	-0.003	0.001
