percent	ang_W	r	phase	choose_angle	delta_1_x_3	delta_2_x_1	delta_3_x_2	delta_3_x_1	delta_1_x_2	delta_2_x_3
0.69	0.000	51.000	0.000	-0.014	-0.014	0.104	-2.086	2.109	-0.104	-0.008
1.38	0.087	51.000	0.000	0.095	0.080	0.179	-2.189	2.014	-0.179	0.095
2.07	0.175	51.000	0.000	0.168	0.178	0.111	-2.262	1.916	-0.111	0.168
2.76	0.262	51.000	0.000	0.235	0.251	0.177	-2.329	1.843	-0.177	0.235
3.45	0.349	51.000	0.000	0.348	0.340	0.362	-2.442	1.754	-0.362	0.348
4.14	0.436	51.000	0.000	0.425	0.431	0.416	-2.519	1.663	-0.416	0.425
4.83	0.524	51.000	0.000	0.520	0.521	0.520	-2.615	1.573	-0.520	0.520
5.52	0.611	51.000	0.000	0.599	0.616	0.586	-2.693	1.479	-0.586	0.599
6.21	0.698	51.000	0.000	0.687	0.688	0.686	-2.781	1.407	-0.686	0.687
6.90	0.785	51.000	0.000	0.788	0.780	0.791	-2.882	1.315	-0.791	0.788
7.59	0.873	51.000	0.000	0.864	0.993	0.843	-2.958	1.102	-0.843	0.864
8.28	0.960	51.000	0.000	0.939	0.863	0.953	-3.033	1.231	-0.953	0.939
8.97	1.047	51.000	0.000	1.033	-1.979	1.029	-3.132	-2.210	-1.029	1.037
9.66	1.134	51.000	0.000	1.120	0.937	1.122	3.071	1.158	-1.122	1.118
10.34	1.222	51.000	0.000	1.209	0.904	1.227	2.954	1.191	-1.227	1.235
11.03	1.309	51.000	0.000	1.309	0.785	1.309	2.881	1.310	-1.309	1.308
11.72	1.396	51.000	0.000	1.387	0.695	1.387	2.808	1.400	-1.387	1.381
12.41	1.484	51.000	0.000	1.481	0.618	1.481	2.705	1.476	-1.481	1.484
13.10	1.571	51.000	0.000	1.558	0.560	1.558	2.607	1.534	-1.558	1.581
13.79	1.658	51.000	0.000	1.652	0.428	1.652	2.555	1.666	-1.652	1.634
14.48	1.745	51.000	0.000	1.753	0.343	1.753	2.433	1.751	-1.753	1.756
15.17	1.833	51.000	0.000	1.833	0.256	1.833	2.372	1.839	-1.833	1.817
15.86	1.920	51.000	0.000	1.936	0.163	1.936	2.232	1.932	-1.936	1.957
16.55	2.007	51.000	0.000	2.007	0.093	2.013	-1.158	2.001	-2.013	-0.936
17.24	2.094	51.000	0.000	2.096	-0.010	2.096	2.218	2.104	-2.096	1.970
17.93	2.182	51.000	0.000	2.164	-0.081	2.177	2.153	2.175	-2.177	2.035
18.62	2.269	51.000	0.000	2.274	-0.180	2.260	2.327	2.274	-2.260	1.862
19.31	2.356	51.000	0.000	2.360	-0.266	2.357	2.369	2.360	-2.357	1.820
20.00	2.443	51.000	0.000	2.435	-0.341	2.458	2.387	2.435	-2.458	1.802
20.69	2.531	51.000	0.000	2.533	-0.438	2.540	2.523	2.533	-2.540	1.666
21.38	2.618	51.000	0.000	2.606	-0.512	2.635	2.576	2.606	-2.635	1.613
22.07	2.705	51.000	0.000	2.698	-0.604	2.708	2.691	2.698	-2.708	1.498
22.76	2.793	51.000	0.000	2.806	-0.711	2.784	2.817	2.806	-2.784	1.372
23.45	2.880	51.000	0.000	2.882	-0.788	2.891	2.879	2.882	-2.891	1.310
24.14	2.967	51.000	0.000	2.975	-0.890	0.069	2.965	2.984	-0.069	1.223
24.83	3.054	51.000	0.000	3.050	-0.953	3.008	3.052	3.047	-3.008	1.137
25.52	3.142	51.000	0.000	3.126	-1.034	0.104	3.122	3.129	-0.104	1.066
26.21	-3.054	51.000	0.000	-3.069	-1.132	0.200	-3.082	-3.056	-0.200	0.988
26.90	-2.967	51.000	0.000	-2.962	-1.240	3.027	-2.962	-2.949	-3.027	0.867
27.59	-2.880	51.000	0.000	-2.878	-1.294	2.837	-2.878	-2.895	-2.837	0.784
28.28	-2.793	51.000	0.000	-2.788	-1.387	2.762	-2.788	-2.802	-2.762	0.693
28.97	-2.705	51.000	0.000	-2.710	-1.460	2.684	-2.710	-2.729	-2.684	0.615
29.66	-2.618	51.000	0.000	-2.622	-1.596	2.653	-2.622	-2.593	-2.653	0.528
30.34	-2.531	51.000	0.000	-2.526	-1.641	2.510	-2.526	-2.548	-2.510	0.432
31.03	-2.443	51.000	0.000	-2.437	-1.759	2.441	-2.437	-2.430	-2.441	0.343
31.72	-2.356	51.000	0.000	-2.361	-1.797	2.349	-2.361	-2.392	-2.349	0.266
32.41	-2.269	51.000	0.000	-2.248	-1.958	2.270	-2.264	-2.231	-2.270	0.170
33.10	-2.182	51.000	0.000	-2.179	-1.985	2.177	-2.180	-2.204	-2.177	0.086
33.79	-2.094	51.000	0.000	-2.100	-1.890	2.088	-2.112	-2.299	-2.088	0.017
34.48	-2.007	51.000	0.000	-2.003	-1.949	1.999	-2.007	-2.240	-1.999	-0.088
35.17	-1.920	51.000	0.000	-1.954	-1.987	1.922	-1.910	-2.202	-1.922	-0.184
35.86	-1.833	51.000	0.000	-1.845	-1.865	1.845	-1.838	-2.324	-1.845	-0.257
36.55	-1.745	51.000	0.000	-1.744	-1.785	1.744	-1.724	-2.403	-1.744	-0.371
